T 8 2 | W
W | W
W | S swordsman
W | T 1 5
S swordsman | F 4 3
W | W
W | F 3 3
T 6 8 | W
W | W
W | S archer
S swordsman | T 5 3
W | T 5 1
W | W
F 5 7 | T 8 9
F 5 4 | W
T 9 0 | T 5 4
W | T 6 5
W | W
W | S archer
W | W
W | W
W | W
T 0 6 | T 8 7
S archer | S swordsman
W | W
W | W
W | S archer
W | W
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | F 9 5
W | W
W | T 6 3
S archer | W
W | S archer
W | W
W | S archer
F 3 3 | W
S swordsman | T 2 0
W | W
W | W
W | W
W | W
W | S archer
F 5 2 | W
W | W
T 8 7 | W
T 1 8 | W
S swordsman | S swordsman
T 1 2 | W
W | T 8 6
F 1 9 | S archer
W | W
W | S swordsman
F 4 1 | S swordsman
F 9 0 | W
F 1 1 | W
F 3 2 | W
W | W
W | T 7 9
S swordsman | S swordsman
F 0 9 | W
W | S archer
T 7 8 | W
S swordsman | S archer
T 7 7 | W
T 0 3 | W
W | W
W | W
W | S swordsman
W | T 8 1
