S archer | S archer
W | F 0 4
W | T 0 9
W | W
W | T 5 7
W | W
W | W
S swordsman | W
W | F 7 1
T 1 7 | W
W | T 7 6
F 0 4 | W
S swordsman | T 0 2
S swordsman | W
W | W
F 0 4 | W
W | S swordsman
T 4 3 | W
W | S swordsman
F 7 8 | W
W | W
W | S archer
F 5 5 | S archer
S archer | W
F 4 7 | F 4 4
W | W
W | S archer
T 2 2 | W
W | W
S archer | W
W | T 6 8
S archer | W
W | W
W | T 9 3
F 5 1 | W
S swordsman | W
W | S archer
W | F 1 0
W | W
W | W
W | T 1 5
T 8 0 | W
S archer | S archer
W | W
W | W
W | W
S swordsman | W
F 1 5 | T 0 1
W | W
F 9 3 | W
F 2 6 | W
W | T 3 1
W | W
W | W
W | W
F 5 1 | W
W | W
W | T 2 3
T 4 6 | F 0 7
F 6 0 | W
W | F 5 1
T 0 3 | T 5 3
