map:map.json
player1:random_bot.py
player2:spawn_bot.py
T 3 0 | S swordsman
S swordsman | S swordsman
W | S swordsman
W | S swordsman
T 0 0 | S swordsman
T 0 3 | S swordsman
F 2 0 | S swordsman
S archer | S swordsman
F 1 3 | S swordsman
S swordsman | S swordsman
T 0 2 | S swordsman
T 2 3 | S swordsman
W | S swordsman
S archer | S swordsman
W | S swordsman
F 0 2 | S swordsman
W | S swordsman
T 1 1 | S swordsman
T 2 1 | S swordsman
W | S swordsman
S swordsman | S swordsman
T 0 3 | S swordsman
W | S swordsman
F 3 2 | S swordsman
F 1 2 | S swordsman
S swordsman | S swordsman
T 2 3 | S swordsman
T 2 0 | S swordsman
T 2 0 | S swordsman
F 0 3 | S swordsman
F 1 3 | S swordsman
T 2 0 | S swordsman
T 2 3 | S swordsman
