map:example_map.json
F 8 9 | F 3 0
W | W
W | W
W | T 3 6
W | F 5 6
W | W
W | T 1 0
W | W
F 4 2 | S archer
W | W
W | W
W | T 5 5
S swordsman | F 9 3
W | W
F 9 7 | W
W | T 8 7
W | S swordsman
W | W
W | W
W | W
W | W
T 3 3 | W
W | F 1 0
W | T 4 7
W | W
T 8 5 | T 6 0
W | T 8 4
W | W
T 8 9 | T 5 9
W | W
W | T 2 4
W | W
S swordsman | T 2 3
W | W
W | F 3 6
W | W
W | W
W | W
F 7 9 | W
W | F 3 5
W | S archer
W | S swordsman
W | F 3 5
W | F 0 7
T 5 8 | T 3 8
W | F 1 6
W | S archer
W | W
T 2 1 | W
W | S archer
W | S archer
W | W
F 1 4 | W
F 2 0 | W
T 7 0 | T 2 3
F 2 5 | W
W | S swordsman
T 2 0 | W
F 3 7 | F 3 7
W | T 3 9
S swordsman | T 6 3
