map:sdfsfsd.json
W | T 9 9
W | W
T 8 0 | S swordsman
W | W
S archer | W
T 6 2 | W
S archer | W
S swordsman | W
W | W
T 2 5 | S archer
W | W
W | W
W | W
S archer | S archer
W | S swordsman
F 4 6 | W
W | F 9 3
W | W
W | S archer
W | W
F 6 0 | W
W | W
W | W
W | W
T 0 8 | S archer
W | T 4 3
W | W
W | F 5 7
S swordsman | F 7 2
S archer | S swordsman
W | W
W | W
W | W
W | W
T 3 3 | T 7 9
W | W
W | W
T 2 8 | S archer
F 3 8 | T 7 1
T 4 5 | W
W | W
W | S swordsman
T 0 7 | W
W | W
F 5 6 | W
W | W
W | T 1 4
T 3 0 | W
W | S swordsman
W | W
W | W
W | W
