map:example_map.json
T 8 6 | S archer
W | S archer
W | W
W | F 1 3
W | W
W | S archer
T 3 9 | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
S swordsman | F 4 8
F 0 9 | W
W | W
S archer | W
W | W
W | W
T 8 1 | S swordsman
F 8 5 | T 6 7
W | T 2 1
W | W
S archer | S archer
W | W
S archer | W
S archer | W
W | S archer
W | W
S swordsman | T 1 0
W | T 1 5
T 1 6 | W
W | W
T 4 9 | S archer
W | W
W | W
W | T 5 8
W | W
T 0 7 | W
T 0 6 | T 0 5
W | W
W | W
F 3 3 | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | T 2 8
W | W
F 1 6 | S swordsman
W | W
W | W
T 5 5 | W
W | W
F 3 5 | S swordsman
T 3 1 | W
W | W
T 8 8 | W
W | W
S archer | W
W | W
W | W
W | W
W | W
T 8 9 | W
W | F 3 3
S archer | W
W | W
S swordsman | W
T 5 8 | T 4 0
W | S swordsman
W | W
F 0 2 | W
W | W
W | F 8 5
W | T 9 5
S swordsman | W
W | W
F 9 9 | W
T 3 4 | W
F 6 2 | W
S swordsman | W
W | W
W | T 0 8
W | W
S archer | W
W | T 0 3
W | W
W | T 2 2
W | W
W | T 2 8
W | W
W | S swordsman
W | W
T 5 5 | W
W | W
S swordsman | T 7 2
W | F 2 7
W | W
F 6 2 | W
T 1 4 | W
W | W
W | W
W | W
W | W
W | W
W | S archer
