map:example_map.json
W | W
W | S archer
W | W
F 4 0 | W
W | W
W | W
F 0 7 | T 8 3
W | W
W | W
S swordsman | W
W | W
F 9 7 | W
W | W
W | F 0 5
F 9 8 | F 9 5
W | F 2 1
F 0 7 | W
W | W
W | T 5 7
T 0 7 | F 5 0
W | F 3 8
W | W
W | W
W | F 4 2
W | W
W | W
T 4 2 | W
W | S archer
T 3 2 | S swordsman
S archer | W
W | F 6 8
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | T 6 4
W | W
W | W
W | W
W | W
W | F 7 8
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | F 2 1
W | T 0 3
W | W
W | W
W | F 3 3
F 7 6 | W
W | T 8 0
W | T 3 9
S archer | W
F 5 5 | S swordsman
W | W
W | T 5 3
W | T 0 5
W | W
W | S archer
W | T 6 4
S swordsman | W
W | W
T 4 7 | W
T 1 8 | F 8 3
W | W
W | F 4 6
S swordsman | W
W | W
F 5 1 | W
F 0 9 | S swordsman
W | W
W | F 6 7
T 0 1 | W
W | F 7 4
W | W
S archer | W
S archer | W
W | W
S swordsman | W
F 7 4 | W
F 2 4 | W
W | W
S archer | W
S swordsman | S archer
W | T 8 8
W | F 0 1
T 8 0 | W
F 0 0 | T 0 1
W | W
S swordsman | T 1 7
T 8 6 | W
W | W
S swordsman | W
S swordsman | W
W | F 9 2
