map:example_map.json
F 3 0 | T 9 5
W | W
F 1 8 | S archer
T 4 4 | S swordsman
W | F 2 3
W | W
T 4 3 | W
F 3 7 | W
W | W
S archer | F 3 4
T 1 5 | W
W | W
T 1 7 | F 4 5
W | F 4 6
F 9 3 | T 2 9
W | W
T 7 5 | W
S swordsman | W
S archer | F 9 8
W | W
S swordsman | W
T 3 4 | F 3 0
T 2 3 | W
W | W
S swordsman | W
S archer | F 4 8
W | F 1 6
W | W
T 3 9 | W
F 7 7 | T 8 9
F 4 3 | S swordsman
W | W
S archer | W
W | W
W | W
S swordsman | S swordsman
W | F 1 4
F 3 0 | W
W | W
F 3 2 | F 6 4
W | W
W | W
T 7 8 | W
W | W
W | W
W | W
W | W
W | W
S archer | W
F 8 3 | W
W | W
W | F 6 7
W | W
