map:example_map.json
T 9 8 | T 7 4
W | W
W | T 5 8
W | W
S swordsman | W
W | W
F 4 4 | W
W | W
W | S swordsman
T 8 2 | W
T 8 1 | W
F 4 9 | W
W | W
W | W
W | F 5 0
W | T 6 1
T 3 3 | W
S swordsman | W
W | T 8 3
W | T 8 7
T 9 3 | F 5 8
W | W
W | W
W | W
S archer | W
W | S swordsman
W | W
W | S swordsman
S archer | W
W | S archer
W | W
W | T 3 6
W | F 9 5
W | F 6 1
W | S swordsman
F 7 9 | W
W | S archer
W | W
W | W
W | W
S archer | F 2 0
F 3 5 | T 3 9
W | W
W | W
S archer | T 8 8
F 0 7 | T 2 0
W | W
W | W
W | W
W | S swordsman
T 9 7 | W
W | S swordsman
F 4 2 | W
W | T 3 0
S swordsman | T 4 8
W | S swordsman
W | F 0 8
S swordsman | S archer
W | F 6 4
W | F 4 5
T 6 2 | F 4 7
W | W
