map:example_map.json
W | F 9 8
S archer | T 3 3
W | W
W | W
W | S swordsman
T 8 7 | W
S swordsman | W
F 0 4 | W
W | W
W | T 7 6
F 7 7 | W
F 8 4 | F 1 9
S swordsman | T 4 9
T 3 0 | F 1 6
W | W
W | S swordsman
W | F 4 5
W | W
W | T 0 7
W | T 7 5
W | W
W | W
W | T 4 8
W | W
W | W
S archer | W
T 8 7 | W
W | F 7 3
W | W
S swordsman | T 6 5
W | W
W | S swordsman
F 1 5 | W
W | W
S swordsman | W
W | T 4 6
W | W
W | T 2 1
W | W
W | F 6 8
T 4 5 | W
W | W
S archer | W
W | W
W | F 4 2
W | T 3 7
W | W
T 1 6 | W
W | W
W | W
F 9 0 | W
