map:duza_mapa.json
W | W
W | W
F 3 7 | F 9 5
W | S archer
W | W
W | W
W | W
F 3 6 | F 6 2
W | T 7 9
W | W
W | T 6 5
W | W
W | F 2 4
F 1 1 | W
S archer | W
W | T 7 6
W | W
W | F 2 2
S archer | W
W | W
W | W
W | S swordsman
W | S archer
S swordsman | W
W | T 2 5
W | W
W | F 2 2
W | T 6 2
W | T 6 2
W | S swordsman
T 7 3 | F 0 4
F 3 5 | W
F 4 3 | W
W | W
T 7 5 | W
W | W
F 6 9 | S archer
W | W
F 8 5 | W
W | F 0 3
W | F 0 0
W | F 7 0
T 5 5 | W
W | W
W | W
W | F 7 1
F 2 8 | S archer
W | W
S swordsman | W
T 6 3 | W
W | F 8 0
W | W
W | W
W | W
S archer | W
W | W
W | W
W | T 1 9
W | S swordsman
W | W
W | S archer
F 0 2 | W
T 0 8 | W
T 8 7 | W
W | W
W | W
S archer | W
S archer | W
W | T 8 5
W | T 0 8
F 4 5 | W
W | W
W | W
W | F 0 2
W | W
F 3 9 | W
W | W
F 4 0 | W
W | S archer
F 4 0 | W
F 4 5 | F 8 0
S archer | W
W | T 9 2
S archer | T 4 7
W | S archer
W | W
S swordsman | T 2 5
W | W
T 6 2 | W
F 3 3 | W
W | T 7 4
W | W
W | T 1 1
W | W
W | W
W | T 0 9
F 1 0 | W
S swordsman | W
W | W
W | W
W | F 7 8
T 1 7 | T 8 0
W | F 0 0
W | W
T 8 4 | W
W | W
W | F 0 2
S swordsman | F 3 0
W | W
W | S archer
T 8 7 | T 3 8
W | F 7 1
W | T 6 1
W | F 0 2
W | T 5 4
W | W
S swordsman | T 3 4
F 7 3 | F 9 1
W | W
F 7 4 | W
W | F 4 7
W | T 8 5
W | W
W | W
W | W
W | W
W | W
W | W
W | T 8 0
W | W
W | T 3 4
W | W
W | W
W | S swordsman
W | W
S archer | W
T 9 4 | F 2 1
W | F 6 1
W | W
F 0 2 | F 5 1
T 0 0 | W
W | W
W | W
W | W
F 0 6 | W
W | W
F 4 3 | W
W | T 4 8
W | W
T 5 0 | F 3 6
T 1 9 | W
