map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 7 9 | T 1 9
F 4 3 | W
W | W
W | W
W | S swordsman
W | F 3 0
S swordsman | W
T 7 0 | T 9 2
W | W
W | W
W | W
F 0 2 | W
W | W
W | W
W | W
F 6 4 | W
F 2 7 | F 0 4
W | S archer
W | T 5 1
W | F 6 7
F 2 4 | W
T 3 7 | W
W | W
W | F 5 8
S swordsman | W
W | W
W | W
F 3 9 | W
W | T 8 3
S archer | T 6 3
W | F 9 7
T 2 6 | T 4 0
W | F 5 6
W | W
W | T 9 6
S swordsman | W
F 3 5 | T 8 0
W | W
F 0 2 | F 8 3
W | T 2 3
S swordsman | W
W | F 0 9
W | S swordsman
S archer | W
F 8 6 | W
W | W
W | W
W | F 9 6
W | W
F 5 7 | W
W | F 0 0
W | W
W | W
W | S swordsman
W | W
W | T 4 5
S swordsman | W
W | S swordsman
W | T 8 4
W | S swordsman
W | W
W | W
W | T 5 1
W | W
W | W
F 2 0 | W
W | W
T 1 1 | T 3 3
W | T 1 4
W | W
W | W
F 8 3 | W
W | W
F 2 8 | W
W | S archer
T 4 6 | F 3 7
S archer | W
S archer | F 6 8
F 0 7 | T 1 4
W | W
W | W
T 2 6 | S swordsman
W | W
T 1 2 | S swordsman
W | T 8 5
W | W
W | W
S swordsman | T 3 1
T 9 0 | S archer
W | W
W | W
S swordsman | T 8 2
W | W
W | W
S archer | W
T 2 3 | F 2 7
S archer | W
W | F 7 7
S archer | W
S swordsman | W
S archer | W
W | W
T 9 9 | W
W | W
W | F 4 7
W | W
W | T 1 1
W | W
T 2 4 | T 3 3
W | W
W | W
W | W
W | W
T 3 0 | W
S archer | W
W | T 6 0
W | S archer
F 1 8 | W
W | W
W | W
W | W
W | F 2 5
T 9 2 | W
W | W
W | W
W | W
W | W
F 5 3 | W
W | W
W | W
