map:duuuza.json
player1:bot.py
player2:bot_python2.py
S swordsman | S swordsman
W | W
W | W
W | W
W | T 6 9
W | W
W | W
W | W
S archer | T 7 3
W | S swordsman
F 8 9 | S swordsman
S swordsman | F 7 8
T 5 4 | S archer
F 4 6 | W
W | T 2 8
S archer | W
W | W
W | T 2 3
W | F 5 2
W | F 6 9
T 7 9 | W
S swordsman | F 6 9
W | W
S archer | T 9 5
W | W
W | W
W | W
S archer | W
W | T 4 3
W | W
W | W
W | W
W | W
W | W
W | W
W | W
W | F 2 1
W | W
F 8 9 | W
W | S archer
W | W
W | F 3 1
W | W
S archer | W
F 5 1 | S archer
W | S archer
F 8 0 | F 0 4
F 7 7 | W
W | S archer
W | T 7 5
T 6 5 | W
T 6 8 | W
W | T 5 5
W | S archer
S archer | S archer
S swordsman | S swordsman
W | S swordsman
W | F 0 7
W | W
W | W
F 4 6 | T 3 9
F 2 6 | W
W | W
S archer | W
W | W
W | W
W | W
W | W
F 6 3 | T 8 4
T 1 4 | W
W | T 6 1
W | S archer
W | S archer
F 8 4 | W
W | W
W | T 3 0
W | S archer
W | W
W | W
S swordsman | W
W | T 9 2
W | S archer
F 2 9 | W
W | W
W | W
W | W
T 5 4 | S swordsman
T 4 1 | W
F 6 4 | W
W | S swordsman
W | W
W | F 4 7
T 4 7 | W
