map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | T 1 8
W | T 0 1
S archer | S archer
W | W
F 3 3 | W
W | S swordsman
W | F 7 8
W | W
W | W
F 0 0 | S swordsman
S swordsman | W
W | F 0 9
W | W
W | W
W | F 1 6
F 0 8 | T 0 3
T 3 9 | S archer
F 0 4 | W
W | W
W | W
W | W
W | W
F 0 7 | T 6 8
W | T 3 2
W | W
T 6 8 | W
W | W
W | W
W | F 3 4
T 5 8 | F 9 2
S archer | W
W | W
W | T 3 7
W | W
W | W
W | W
W | W
W | S swordsman
S archer | W
W | T 3 9
W | F 4 7
W | W
S archer | W
T 4 9 | W
W | W
T 6 1 | W
W | W
T 7 0 | S archer
W | W
S swordsman | W
W | W
W | S archer
W | W
F 3 5 | F 8 7
W | F 8 6
W | W
W | W
W | W
T 2 5 | F 2 9
F 9 4 | S archer
W | W
W | W
W | W
