map:duuuza.json
player1:bot.py
player2:bot_python2.py
T 9 5 | W
F 9 3 | W
W | W
W | W
W | W
F 4 3 | W
W | W
W | T 8 8
F 1 6 | W
W | T 9 8
T 7 9 | W
W | S archer
F 9 5 | W
W | W
W | T 9 7
S archer | W
T 3 4 | W
S swordsman | W
S archer | W
S swordsman | W
W | W
S swordsman | W
W | W
W | T 8 5
T 7 4 | W
W | W
W | W
W | S archer
W | W
F 0 5 | W
S swordsman | W
S swordsman | W
S swordsman | F 7 8
S swordsman | S archer
F 6 9 | W
W | W
S archer | F 4 8
S archer | F 5 1
W | W
T 5 5 | S swordsman
S archer | W
W | W
W | S swordsman
W | F 6 8
W | W
W | T 4 9
W | W
W | F 9 3
W | T 4 6
W | W
W | W
W | W
S swordsman | W
W | W
W | F 3 4
S swordsman | W
W | W
W | W
S archer | T 3 0
W | W
W | W
W | T 8 1
W | F 8 0
W | W
S swordsman | W
W | W
W | W
S archer | W
W | W
W | S swordsman
T 1 6 | W
W | W
W | T 3 5
W | W
W | S archer
W | S swordsman
T 5 3 | F 8 2
W | W
W | W
F 0 8 | S archer
W | T 7 4
W | W
W | W
W | W
W | T 2 7
W | F 7 2
W | W
W | T 4 9
T 3 0 | W
F 5 3 | W
T 0 1 | W
S swordsman | F 7 2
S swordsman | T 9 2
