map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 0 1 | S swordsman
F 3 6 | S archer
S swordsman | W
W | S swordsman
W | W
W | W
W | T 0 5
W | W
W | W
W | W
T 0 7 | T 6 8
W | F 4 2
F 4 7 | F 9 3
W | W
W | W
W | W
F 1 7 | F 3 2
W | W
F 4 5 | T 3 4
W | W
W | T 9 2
S swordsman | W
W | W
W | S swordsman
W | W
F 5 3 | W
W | W
W | W
W | T 3 7
S swordsman | W
W | W
F 2 9 | W
W | W
F 5 7 | W
T 9 1 | W
T 7 8 | T 2 5
W | F 0 7
W | W
F 7 9 | W
W | T 0 4
T 4 9 | W
S swordsman | S swordsman
W | S swordsman
T 3 8 | W
T 7 4 | W
T 8 0 | F 3 0
F 0 1 | T 1 4
S archer | W
W | W
W | W
W | F 9 1
W | W
T 2 7 | T 7 1
W | F 7 9
W | W
W | W
F 9 6 | T 4 7
W | W
F 6 8 | W
W | W
S archer | W
F 3 4 | F 0 8
F 0 2 | W
W | S swordsman
W | F 8 4
F 6 0 | W
W | W
W | W
F 5 8 | W
W | F 0 5
