map:duuuza.json
player1:bot.py
player2:bot_python2.py
S swordsman | F 6 0
F 4 6 | W
S swordsman | W
W | W
S archer | S swordsman
W | W
W | W
W | F 5 1
T 6 9 | W
S archer | W
F 5 9 | T 0 2
T 1 4 | S archer
T 4 3 | F 5 8
W | F 2 2
W | W
W | W
W | W
W | T 2 3
W | W
W | W
W | W
F 9 9 | W
W | W
W | W
W | S swordsman
W | W
T 3 5 | W
S archer | T 4 3
W | F 6 5
W | T 8 3
F 9 4 | W
S archer | W
F 6 0 | W
W | W
F 1 5 | W
W | S swordsman
W | S archer
W | S swordsman
W | W
W | W
T 3 2 | W
F 8 8 | W
W | S archer
T 2 2 | W
W | W
S archer | W
W | W
W | F 3 5
T 4 8 | S archer
W | W
S swordsman | S archer
W | W
W | W
W | F 3 1
F 2 9 | W
W | W
W | W
W | T 7 6
S archer | T 8 8
W | W
W | T 1 7
W | W
W | W
S archer | F 3 1
W | F 2 1
W | W
W | W
W | W
F 0 4 | W
W | W
W | W
F 2 5 | W
W | W
W | W
W | W
W | F 7 4
T 7 7 | W
W | F 9 7
W | T 7 1
W | W
W | S archer
W | W
W | W
W | F 3 6
S archer | S swordsman
W | W
W | F 3 6
T 4 0 | F 8 2
W | T 0 9
T 1 9 | F 1 3
T 1 5 | W
W | F 5 3
T 1 7 | W
W | W
W | T 6 2
W | W
W | W
W | T 2 4
F 3 2 | W
W | W
W | W
W | W
W | T 4 2
S archer | T 4 0
W | S swordsman
W | W
W | W
W | W
W | T 9 8
S archer | W
F 0 6 | W
T 1 5 | W
F 6 9 | W
F 9 6 | W
W | S archer
T 5 1 | T 9 1
S archer | W
W | W
W | W
W | T 5 5
T 3 9 | S swordsman
F 1 6 | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
T 6 6 | W
W | W
T 2 4 | S swordsman
W | W
W | T 2 4
W | W
F 8 2 | F 1 0
T 1 2 | T 2 1
F 4 5 | T 6 3
F 6 0 | W
S swordsman | F 0 4
W | W
W | S archer
S archer | T 2 5
S swordsman | W
S archer | S archer
S archer | W
W | W
F 6 1 | F 2 9
W | W
W | S archer
F 8 1 | S archer
F 9 6 | W
W | W
W | W
T 6 6 | W
W | W
F 6 0 | S archer
T 9 3 | W
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
F 0 0 | W
W | S swordsman
W | T 8 8
T 6 6 | F 5 8
W | W
W | S swordsman
W | T 3 9
W | W
F 7 0 | W
F 5 3 | F 1 0
W | W
W | F 4 3
T 9 6 | W
T 0 6 | W
F 7 7 | W
W | W
W | W
F 4 9 | S archer
T 1 7 | W
S archer | T 7 1
W | W
W | T 8 0
W | S swordsman
W | T 3 3
W | W
