map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
T 1 1 | W
W | T 7 1
T 2 2 | W
T 7 0 | W
W | W
F 9 9 | F 4 9
F 7 0 | S swordsman
W | S archer
F 4 2 | T 4 1
W | T 2 3
T 7 5 | W
F 7 2 | W
S archer | W
F 2 7 | S archer
F 6 1 | W
W | W
W | W
T 0 2 | W
W | W
S swordsman | S archer
W | S swordsman
S archer | T 2 2
W | S swordsman
W | W
T 6 1 | W
W | S swordsman
W | W
T 6 6 | W
S archer | W
W | W
T 2 8 | W
T 8 2 | W
T 3 7 | S swordsman
W | W
W | F 7 2
W | W
T 7 7 | W
F 5 9 | T 6 0
W | W
W | W
W | F 7 9
W | T 2 3
W | W
W | W
W | S swordsman
S swordsman | F 7 1
W | W
W | W
W | W
F 5 2 | S swordsman
W | W
F 6 2 | W
W | S archer
F 7 0 | W
W | T 7 9
W | W
W | W
W | F 0 6
W | W
W | W
F 8 7 | W
F 9 5 | W
W | T 1 4
W | T 0 9
F 1 1 | T 9 2
