map:duuuza.json
player1:bot.py
player2:bot_python2.py
S swordsman | W
W | W
W | T 9 6
W | W
T 5 6 | W
W | F 0 8
W | W
W | W
W | W
T 2 4 | W
W | F 6 1
W | W
W | W
W | W
W | W
W | F 4 1
W | W
W | S archer
W | W
S swordsman | W
W | W
S swordsman | S swordsman
W | W
W | W
W | T 4 5
W | W
W | W
W | F 7 1
W | W
W | F 9 8
W | W
W | S swordsman
W | S archer
W | W
T 6 9 | W
W | W
W | S archer
F 7 8 | W
F 5 0 | S archer
W | W
W | W
W | W
T 4 7 | W
W | T 6 5
T 3 0 | W
F 3 9 | W
S swordsman | S swordsman
W | T 7 6
W | S archer
W | W
S swordsman | F 0 5
W | W
F 5 1 | S archer
W | W
W | F 2 4
W | W
W | W
W | W
W | W
T 4 2 | W
S swordsman | W
W | W
T 5 9 | W
W | W
W | S archer
W | W
W | W
S archer | T 3 8
T 2 8 | S archer
W | W
W | W
F 7 7 | W
F 3 2 | W
W | W
W | T 5 8
S archer | T 3 8
W | S swordsman
W | W
W | T 5 2
S swordsman | W
W | T 5 2
W | W
W | W
W | W
W | W
W | W
S swordsman | F 4 3
F 8 6 | W
W | W
W | W
W | S archer
W | W
W | S archer
S archer | T 5 0
W | W
W | S archer
W | W
W | W
S swordsman | W
F 8 1 | W
F 9 1 | F 9 8
W | W
W | W
S archer | W
W | W
W | W
W | W
W | W
W | T 4 6
W | W
T 4 0 | W
S archer | W
S archer | W
W | W
W | W
W | W
W | W
W | W
