map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
S swordsman | F 3 5
W | S swordsman
W | W
W | F 5 5
W | F 9 7
W | W
S swordsman | W
W | W
W | W
F 8 8 | W
W | W
W | W
F 7 4 | W
S swordsman | S archer
W | F 2 3
T 0 6 | W
W | F 8 4
W | S archer
W | W
W | W
S swordsman | T 8 6
W | S archer
W | F 6 4
F 7 6 | T 3 3
W | W
W | T 6 2
W | F 4 7
W | W
W | F 6 4
T 3 8 | W
W | W
W | W
W | W
W | T 1 0
F 3 3 | W
S archer | W
W | T 7 0
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | S archer
W | W
W | F 8 6
T 8 2 | W
F 6 6 | F 5 5
W | F 8 1
W | W
W | W
W | W
W | W
W | T 7 2
W | W
W | W
T 5 9 | F 1 3
W | T 5 1
S swordsman | W
