map:duuuza.json
player1:bot.py
player2:bot_python2.py
T 4 7 | F 5 6
F 5 3 | W
S archer | S swordsman
S swordsman | T 8 5
W | W
W | T 6 9
W | W
W | W
W | W
W | W
T 9 2 | S swordsman
W | W
W | W
W | W
W | F 5 0
W | W
F 6 2 | W
W | W
W | W
W | W
W | W
T 0 7 | W
S archer | W
W | T 0 9
T 6 8 | W
W | F 5 5
T 9 9 | W
W | W
W | W
S swordsman | W
W | W
W | T 4 0
T 1 9 | W
W | W
F 6 1 | W
W | W
W | T 3 3
W | W
F 4 1 | W
T 6 9 | W
W | T 6 7
W | S swordsman
F 0 0 | W
S archer | W
W | S archer
W | W
W | F 0 0
S archer | T 0 0
W | W
W | W
W | S archer
S swordsman | W
W | W
W | W
F 0 4 | W
W | W
W | W
S swordsman | W
W | W
W | W
S archer | W
T 7 1 | F 1 3
F 9 1 | W
W | W
W | W
F 3 0 | W
W | W
W | W
W | W
T 3 9 | S swordsman
W | W
W | W
T 2 6 | F 3 2
W | W
W | W
T 4 5 | S archer
W | W
T 1 5 | T 4 9
W | W
W | T 8 1
W | T 7 2
S archer | F 2 3
S swordsman | W
S archer | T 9 6
T 4 9 | S swordsman
T 8 1 | W
F 0 6 | W
W | W
W | W
F 3 0 | W
F 9 5 | S swordsman
W | W
S swordsman | F 6 2
W | W
S swordsman | W
W | W
S archer | W
F 8 8 | W
S archer | W
W | W
W | W
S swordsman | T 7 5
W | W
W | T 4 2
F 4 2 | W
F 0 1 | F 5 8
W | T 9 1
W | F 7 2
S swordsman | W
W | W
W | W
W | T 9 8
W | W
W | W
S archer | S swordsman
W | S archer
W | F 4 6
F 6 7 | F 9 6
S archer | W
W | W
W | W
W | F 5 1
T 0 1 | W
F 3 5 | S archer
W | W
W | T 9 2
W | W
W | F 1 1
W | W
S archer | W
W | W
T 7 6 | W
W | S archer
W | W
S swordsman | W
W | T 4 3
W | W
W | S swordsman
F 2 3 | F 8 1
F 8 1 | W
F 2 0 | T 7 8
W | W
W | W
W | W
F 0 2 | S archer
W | T 3 1
T 9 4 | W
T 4 1 | W
S swordsman | W
W | W
F 7 4 | W
W | W
W | W
F 7 5 | W
T 0 2 | W
T 9 9 | W
F 2 3 | F 2 2
S swordsman | W
W | F 9 4
W | T 8 7
S swordsman | F 1 5
W | W
W | W
S archer | W
W | W
F 0 6 | W
S archer | W
S archer | W
W | W
W | F 2 0
F 0 8 | W
W | S swordsman
W | F 7 4
W | W
W | W
W | W
W | S archer
W | T 0 8
F 2 9 | W
T 6 2 | S swordsman
W | W
T 6 5 | W
W | W
W | F 4 6
S swordsman | W
W | S swordsman
W | W
W | T 9 5
F 5 5 | W
F 9 1 | W
S archer | W
W | W
W | W
F 1 4 | W
W | W
F 4 2 | W
T 0 7 | W
S swordsman | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
S archer | W
S swordsman | W
W | W
T 4 2 | W
F 7 3 | F 1 5
W | W
T 0 4 | S swordsman
W | W
F 8 1 | W
W | W
W | W
W | W
S swordsman | T 8 1
W | S swordsman
W | S archer
W | W
W | T 5 8
W | W
S swordsman | W
S archer | F 6 0
W | W
W | F 4 4
W | W
W | S swordsman
W | W
W | T 0 4
W | T 4 6
W | S swordsman
T 3 8 | W
S swordsman | W
W | F 7 6
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | T 6 3
W | T 6 7
W | F 2 2
S archer | W
T 6 8 | F 8 0
W | T 5 0
W | W
W | W
W | W
S swordsman | S archer
S swordsman | W
W | F 5 7
W | W
W | W
W | F 9 2
W | T 2 7
F 5 5 | W
F 0 9 | T 8 4
T 5 2 | T 4 8
W | W
T 8 5 | T 4 3
T 8 5 | W
W | W
W | T 5 1
W | W
F 0 7 | W
W | W
W | W
T 9 0 | F 6 9
W | S swordsman
W | F 8 4
W | F 7 6
W | S swordsman
F 3 8 | W
W | S swordsman
S swordsman | W
W | W
F 9 0 | W
S archer | W
W | W
W | S swordsman
W | W
W | S archer
T 8 2 | W
W | W
W | W
T 7 1 | W
W | W
W | W
W | W
W | S swordsman
F 7 5 | S archer
W | T 0 1
F 2 7 | S archer
W | S swordsman
W | W
W | W
W | S archer
F 9 5 | W
W | W
W | W
W | F 3 4
S archer | W
S archer | F 0 1
W | W
W | W
S swordsman | W
W | S swordsman
W | T 1 8
W | F 3 1
W | T 1 6
S archer | W
F 7 9 | W
W | W
W | W
F 7 9 | W
W | W
W | W
W | W
W | W
W | S archer
