map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 5 3 | S archer
W | S swordsman
S swordsman | W
W | S archer
W | S swordsman
S archer | W
W | S swordsman
T 4 7 | T 0 0
S swordsman | W
W | S swordsman
W | F 2 9
W | F 9 7
F 8 3 | W
F 2 5 | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
W | S archer
F 3 4 | W
W | W
W | W
F 8 0 | F 6 5
W | W
F 9 3 | W
W | W
W | F 3 5
W | W
S archer | W
W | W
W | W
W | F 6 6
F 0 8 | W
T 3 6 | F 4 2
W | S archer
W | W
W | T 8 8
F 6 5 | W
W | W
W | F 4 6
F 5 2 | T 9 3
T 5 3 | W
S archer | W
T 2 8 | T 0 5
W | F 7 1
W | W
W | S archer
T 3 0 | W
W | W
F 1 2 | T 9 0
W | S archer
W | F 7 3
W | S archer
W | S swordsman
W | F 0 3
S swordsman | W
