map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | F 5 7
T 3 1 | W
W | W
F 3 1 | S swordsman
W | T 7 0
T 9 9 | T 5 4
W | W
S swordsman | W
W | W
F 6 0 | W
W | T 9 2
W | T 1 9
W | W
S archer | T 8 3
W | W
W | W
T 3 1 | T 8 1
W | W
T 9 0 | W
F 9 6 | F 5 7
S swordsman | F 9 8
W | T 2 6
F 5 2 | W
W | W
W | F 0 1
S archer | S swordsman
S archer | F 4 5
W | W
S archer | W
W | T 5 3
W | F 9 9
W | W
W | T 6 1
T 7 2 | F 2 6
F 1 0 | F 1 7
W | W
F 5 0 | S archer
W | T 7 1
S swordsman | W
W | T 7 3
W | S swordsman
F 1 1 | W
T 9 8 | W
S archer | W
W | W
W | W
T 4 6 | F 1 6
W | W
F 7 7 | T 0 4
W | F 6 7
F 0 8 | F 0 7
W | F 0 0
W | W
S archer | S swordsman
F 3 6 | F 6 2
F 0 3 | T 3 7
W | W
F 9 3 | F 5 1
W | W
W | W
W | T 2 5
W | S archer
W | W
F 5 6 | W
W | W
W | W
W | S swordsman
S swordsman | W
W | S archer
W | W
W | W
W | S archer
W | W
W | W
W | T 1 0
W | W
S archer | W
W | W
S archer | W
W | S swordsman
W | W
F 4 9 | W
W | W
W | W
W | T 5 4
S swordsman | W
F 1 6 | S swordsman
W | T 2 0
W | W
W | W
F 2 8 | W
F 5 2 | F 8 9
W | W
W | W
W | W
W | W
W | W
F 1 5 | F 3 8
W | W
W | W
W | W
W | W
S archer | W
W | W
W | W
F 3 8 | S swordsman
W | W
T 2 8 | F 5 1
F 7 2 | W
F 2 8 | W
S swordsman | F 6 9
W | W
S archer | F 2 4
W | W
W | S archer
T 2 7 | W
W | W
T 4 3 | W
W | W
W | W
W | T 7 4
W | S swordsman
S swordsman | W
F 9 5 | W
S swordsman | W
W | S archer
S swordsman | T 5 5
T 7 5 | W
T 3 5 | S swordsman
W | T 5 9
T 1 5 | F 2 7
W | W
W | F 2 9
W | W
S swordsman | F 5 4
W | W
W | W
W | F 4 6
W | W
W | W
W | F 2 2
W | W
F 6 4 | W
S archer | W
T 6 4 | F 5 5
F 4 1 | W
F 1 9 | S swordsman
W | W
W | W
F 4 7 | W
W | W
W | S archer
W | W
W | F 6 4
W | W
W | W
W | W
W | S swordsman
F 7 3 | W
W | S archer
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | W
W | T 8 2
W | S archer
W | S swordsman
T 8 9 | W
F 0 8 | W
T 8 3 | T 5 9
T 5 9 | W
W | W
S archer | W
W | W
W | W
W | W
W | W
S swordsman | W
W | S archer
W | T 0 8
F 4 4 | W
T 1 8 | W
F 4 8 | S swordsman
S archer | W
W | W
F 9 2 | F 7 4
W | S swordsman
T 8 0 | W
W | T 1 0
W | W
T 9 0 | S swordsman
W | W
F 4 8 | W
W | W
T 6 8 | F 3 7
W | T 3 4
F 2 8 | W
