map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S swordsman
W | W
W | W
W | T 5 0
F 2 3 | W
W | T 9 2
W | S swordsman
S archer | W
W | S archer
W | T 6 1
F 9 7 | W
W | W
W | S archer
T 9 9 | T 7 2
W | W
W | W
F 1 6 | W
W | F 2 3
T 9 2 | S archer
W | F 3 0
W | T 5 8
W | T 0 3
W | W
T 1 7 | F 3 8
W | W
W | F 7 0
W | W
W | T 7 6
F 8 2 | W
W | W
W | W
W | W
S archer | W
W | W
S swordsman | W
F 3 3 | W
W | W
W | W
W | W
S archer | W
W | W
W | W
S swordsman | F 6 1
W | W
W | W
W | W
W | F 2 1
S archer | T 4 4
W | W
F 9 7 | W
F 9 9 | T 0 1
S swordsman | W
F 5 7 | W
T 6 7 | W
F 2 7 | W
W | F 8 1
W | W
W | W
W | T 0 4
S archer | W
