map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 7 2 | F 0 9
W | W
F 2 9 | W
W | F 2 3
T 6 6 | W
T 9 7 | W
F 8 5 | W
W | W
W | W
F 9 0 | F 9 0
W | W
W | W
T 5 2 | W
W | W
W | W
W | F 0 9
W | T 5 4
S archer | W
S swordsman | W
W | W
W | W
S swordsman | S archer
F 5 4 | S swordsman
W | W
F 2 4 | F 7 6
W | W
F 8 1 | W
T 7 4 | W
W | T 4 1
W | T 9 7
W | W
W | W
W | W
W | F 2 6
W | F 1 7
W | W
W | S archer
W | W
S archer | W
T 6 2 | W
W | F 5 3
W | F 4 7
W | W
W | W
S swordsman | W
W | S swordsman
W | T 2 6
W | W
T 3 7 | W
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | F 8 9
S swordsman | W
W | T 8 3
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | F 4 8
F 9 2 | W
T 5 8 | T 3 9
W | T 6 7
S archer | W
F 1 3 | W
W | W
S archer | F 4 8
T 6 1 | T 2 7
S swordsman | F 6 0
W | W
F 1 2 | W
F 0 1 | W
W | T 8 1
W | W
F 6 8 | W
W | F 7 7
W | W
S swordsman | W
S archer | W
S archer | W
