map:duuuza.json
player1:bot.py
player2:bot_python2.py
S archer | F 0 5
T 3 8 | S swordsman
W | W
W | S swordsman
W | F 4 2
W | W
W | F 9 1
F 2 0 | S archer
S archer | W
W | W
W | T 7 7
F 5 8 | F 3 1
T 4 4 | W
W | W
W | W
T 6 6 | W
W | W
W | W
W | W
W | W
W | F 6 2
W | W
T 5 7 | S archer
S archer | W
W | S swordsman
T 1 4 | W
W | T 1 9
W | T 7 8
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | W
F 1 2 | W
W | W
F 8 6 | W
W | W
W | W
W | F 5 3
W | W
S archer | W
S archer | W
S archer | S swordsman
W | F 7 6
W | W
W | W
W | W
W | F 7 5
W | F 6 6
W | W
