map:duuuza.json
player1:bot.py
player2:bot_python2.py
S archer | S swordsman
W | T 3 2
W | F 7 8
W | W
T 0 5 | F 8 1
W | W
W | W
W | W
W | W
T 3 1 | W
W | F 1 1
F 3 2 | W
W | F 8 2
F 8 6 | F 4 4
T 3 6 | S archer
W | W
W | S archer
W | S swordsman
W | W
W | W
T 5 5 | W
W | W
W | F 9 0
W | W
W | S archer
S archer | F 3 6
T 6 6 | T 9 9
T 1 5 | W
W | W
F 1 8 | S swordsman
F 0 0 | W
S swordsman | W
W | W
W | S swordsman
W | F 9 5
F 0 8 | S swordsman
W | W
S archer | W
F 6 8 | W
T 3 1 | T 2 0
T 3 9 | W
W | S swordsman
W | T 6 0
F 4 4 | F 2 2
W | F 8 5
W | T 2 0
S archer | W
S swordsman | W
W | W
W | W
F 9 9 | W
W | W
W | F 2 6
W | W
W | S archer
T 7 4 | W
T 2 9 | F 3 6
F 8 7 | T 5 4
W | W
W | W
W | W
W | W
W | T 4 5
F 1 4 | F 7 2
W | W
S archer | S archer
T 5 8 | W
F 2 2 | W
W | T 8 8
W | W
F 8 4 | F 3 9
S archer | W
W | F 5 2
W | T 4 3
F 9 5 | W
W | W
F 3 5 | W
S swordsman | S archer
W | W
W | F 5 3
W | W
F 0 8 | W
W | T 0 1
W | W
F 1 5 | W
T 1 7 | W
S archer | F 8 8
W | F 8 1
W | W
W | S swordsman
W | F 3 6
W | S archer
