map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 3 5 | W
W | S archer
W | S archer
T 2 6 | W
W | W
W | T 2 7
T 6 5 | T 1 8
W | W
W | W
F 9 7 | F 7 9
W | F 1 6
W | W
W | W
W | S archer
W | W
W | W
W | W
W | F 1 1
S swordsman | F 1 9
T 0 6 | W
F 2 3 | W
F 3 2 | T 2 3
W | T 4 7
S archer | F 7 0
S swordsman | W
W | W
W | S archer
W | S swordsman
F 8 0 | W
W | W
S swordsman | T 0 3
W | W
W | W
W | W
T 1 1 | T 8 3
W | W
W | S archer
F 3 9 | W
W | W
W | W
S swordsman | W
F 8 5 | F 2 2
F 8 1 | S archer
S archer | W
W | W
S archer | F 1 2
W | W
W | F 7 4
S swordsman | W
W | W
S swordsman | W
T 8 5 | S swordsman
W | W
W | W
W | W
F 3 0 | W
T 4 4 | W
W | W
W | W
W | W
W | S archer
S swordsman | T 3 2
W | W
W | W
S swordsman | F 3 1
F 4 1 | F 6 1
S archer | W
W | T 1 2
W | W
T 8 1 | F 5 5
T 2 0 | W
W | F 0 3
W | W
W | W
W | W
T 8 6 | W
W | T 7 3
S archer | W
W | W
W | W
W | T 7 1
W | W
F 8 7 | W
W | W
W | W
