map:duuuza.json
player1:bot.py
player2:bot_python2.py
T 7 8 | S swordsman
F 1 8 | W
F 6 1 | W
W | T 6 4
W | F 1 1
W | S archer
F 6 6 | W
W | F 9 0
W | W
T 8 0 | T 0 8
T 5 5 | W
F 0 8 | W
F 2 5 | S swordsman
W | W
F 2 3 | W
W | S swordsman
S archer | T 7 8
W | T 6 6
W | S archer
W | W
W | S archer
T 4 5 | F 4 9
W | W
T 3 6 | F 5 9
T 6 0 | W
S swordsman | W
W | T 4 3
W | F 9 1
W | W
T 4 9 | W
T 4 3 | W
W | S archer
W | W
W | S swordsman
S archer | W
W | W
S archer | W
W | W
W | F 3 5
T 5 3 | W
T 4 5 | S swordsman
F 6 0 | T 4 6
W | W
W | W
W | F 6 3
F 4 6 | W
S archer | W
W | W
W | W
S swordsman | W
W | W
S archer | S swordsman
S archer | W
T 4 3 | W
W | S swordsman
T 7 9 | S swordsman
W | F 8 6
W | S swordsman
W | W
W | W
F 0 4 | W
W | F 6 9
W | W
W | W
T 0 7 | W
W | T 8 3
W | F 2 2
S archer | W
F 1 8 | W
W | W
F 1 4 | W
T 2 8 | W
F 4 8 | W
S archer | T 4 6
W | S archer
T 2 6 | W
S swordsman | W
F 0 5 | S swordsman
F 3 7 | W
W | W
F 4 6 | W
W | W
W | S archer
T 5 7 | S swordsman
T 9 2 | W
W | W
W | F 6 3
W | W
T 6 3 | W
W | W
W | W
W | S swordsman
