map:duuuza.json
player1:bot.py
player2:bot_python2.py
S archer | T 2 9
S swordsman | T 0 6
T 0 5 | W
F 9 7 | W
W | W
T 4 3 | F 4 4
F 5 6 | W
W | W
W | T 9 9
W | W
W | W
W | F 3 1
W | T 9 7
W | W
T 2 8 | W
W | T 7 2
W | W
T 0 6 | W
F 8 8 | W
W | S archer
W | W
W | S archer
F 3 2 | W
W | W
W | W
W | S archer
W | W
W | W
W | W
W | T 6 0
F 7 0 | W
W | T 6 9
W | W
S archer | W
F 8 6 | F 7 8
F 5 7 | F 1 5
W | T 1 8
F 1 0 | S swordsman
F 1 3 | W
S swordsman | W
F 7 2 | S swordsman
S swordsman | S archer
T 3 4 | W
W | T 0 7
S swordsman | S swordsman
F 5 7 | W
W | W
S swordsman | F 0 3
W | W
W | W
W | W
W | W
T 8 2 | T 4 6
S archer | W
S archer | W
W | W
F 9 5 | W
W | S archer
W | T 7 9
W | W
W | S swordsman
W | T 9 0
W | W
W | W
W | S archer
T 5 7 | W
S archer | W
F 0 7 | F 2 6
W | S archer
T 2 5 | W
W | W
S swordsman | W
W | T 1 7
T 4 1 | T 8 5
F 8 0 | T 1 0
W | W
F 9 7 | W
T 9 5 | W
W | W
S swordsman | W
W | S swordsman
T 1 2 | S archer
F 2 0 | W
T 4 7 | F 1 1
T 3 6 | F 2 8
W | W
W | W
F 7 5 | F 7 1
W | T 5 9
S swordsman | W
W | W
F 4 0 | W
W | T 5 1
W | W
S swordsman | W
T 0 5 | S swordsman
W | W
S swordsman | F 0 2
S archer | S archer
W | W
W | T 2 5
F 1 0 | W
W | W
T 1 4 | W
T 1 4 | W
T 9 0 | F 3 3
F 4 7 | W
S archer | S swordsman
T 0 2 | S archer
W | W
W | T 5 6
W | T 3 7
W | W
W | W
W | W
W | W
F 9 0 | T 0 7
W | W
W | W
W | T 2 1
W | T 1 5
W | T 6 4
T 3 0 | S archer
W | W
W | W
W | W
W | F 6 5
W | W
F 1 7 | T 0 7
W | W
W | F 8 7
F 4 3 | W
W | W
S swordsman | W
S archer | W
W | W
F 1 4 | W
W | W
W | W
T 0 8 | T 3 4
W | W
F 1 2 | W
W | W
W | W
W | S archer
W | W
W | W
S archer | W
W | F 7 6
W | W
W | W
W | W
T 8 0 | T 5 8
W | W
W | F 9 1
W | T 6 9
F 3 7 | W
W | F 7 5
W | W
W | S archer
W | F 1 4
W | W
W | F 1 6
W | F 0 8
W | W
S archer | T 2 4
W | F 5 3
T 4 5 | W
W | W
W | F 6 7
T 0 9 | W
S archer | W
S archer | F 3 4
W | W
W | F 3 2
W | W
W | W
S archer | W
S archer | W
S archer | S archer
W | W
W | W
W | W
W | W
W | W
W | T 5 1
W | S swordsman
S archer | W
W | W
W | F 5 5
W | W
W | W
W | F 6 6
W | W
W | T 3 0
W | F 5 5
F 6 0 | W
W | F 1 7
W | T 7 1
F 1 6 | W
W | W
W | F 1 4
W | W
W | W
W | W
W | W
W | W
T 3 5 | W
W | W
W | W
W | W
W | W
W | F 3 6
S archer | T 3 8
T 5 6 | W
T 6 6 | T 7 9
F 5 6 | F 3 5
W | W
F 2 3 | T 0 8
W | T 6 5
W | W
W | W
W | W
W | W
W | S swordsman
T 9 5 | W
F 5 2 | S archer
W | W
W | S archer
F 0 5 | W
W | T 0 6
W | W
S archer | W
F 2 1 | S archer
W | W
T 0 2 | S archer
S swordsman | W
T 5 3 | W
T 8 6 | T 6 0
W | W
W | T 5 1
S archer | T 9 1
F 2 1 | W
W | W
W | W
F 1 6 | W
W | T 2 0
S swordsman | W
W | W
W | W
F 8 2 | W
W | S archer
F 5 6 | S archer
W | W
W | W
W | W
W | W
W | S archer
W | S archer
W | T 9 0
F 9 2 | T 6 9
F 5 0 | W
W | F 4 8
W | W
T 3 5 | S archer
W | W
F 1 8 | W
T 1 6 | W
W | S swordsman
T 8 7 | W
T 2 4 | W
W | W
W | S archer
W | W
