map:duuuza.json
player1:bot.py
player2:bot_python2.py
T 6 3 | S archer
W | W
S swordsman | W
W | T 4 8
W | S archer
W | W
T 3 9 | T 9 6
W | S swordsman
W | F 7 8
S archer | W
S archer | S swordsman
F 5 4 | W
T 6 8 | F 1 2
W | T 0 9
W | T 2 0
S swordsman | W
W | W
T 6 3 | F 5 5
F 6 1 | W
W | W
W | W
W | W
W | W
T 3 6 | W
W | S swordsman
W | W
S swordsman | W
F 5 5 | W
F 3 4 | F 1 0
W | W
S swordsman | W
W | F 4 6
S swordsman | W
W | W
S swordsman | W
W | W
W | W
W | W
W | W
W | T 6 2
S swordsman | S archer
W | W
W | F 1 3
T 2 4 | W
S swordsman | F 1 1
T 5 9 | W
F 4 4 | F 5 1
W | W
F 1 4 | F 0 0
W | W
T 9 5 | F 7 6
F 1 6 | W
W | W
F 0 9 | W
W | S swordsman
W | W
W | W
S archer | S archer
W | W
W | F 9 4
F 0 3 | T 8 1
W | W
W | W
W | T 4 8
W | T 4 2
W | W
W | W
W | S archer
F 0 8 | S archer
W | W
W | W
F 0 5 | W
W | W
W | W
W | W
T 3 6 | W
S archer | W
W | W
W | T 9 9
F 6 9 | W
W | W
W | W
F 9 8 | W
W | T 4 7
W | S archer
W | W
W | W
W | F 5 0
F 8 0 | F 9 2
S archer | W
