map:duuuza.json
player1:bot.py
player2:bot_python2.py
S archer | W
W | W
T 9 4 | W
F 9 2 | W
S archer | W
S swordsman | W
W | S archer
T 4 7 | S swordsman
W | W
W | W
W | T 4 6
S swordsman | T 8 1
W | W
S swordsman | W
W | W
W | S archer
W | W
F 8 4 | W
W | W
W | W
W | W
W | F 3 0
W | W
W | T 7 1
F 4 9 | W
W | S archer
F 7 9 | W
W | T 0 5
W | S archer
T 1 1 | W
F 4 3 | T 8 0
W | W
W | W
W | S archer
F 3 7 | W
W | T 4 2
W | T 6 1
W | W
T 4 9 | S swordsman
W | S archer
T 4 5 | W
F 9 7 | W
W | W
T 7 8 | T 9 9
W | W
T 8 8 | F 9 3
F 4 3 | S swordsman
W | W
W | W
W | W
W | F 9 4
W | W
W | W
W | W
W | W
W | W
W | W
T 3 3 | F 3 9
S archer | T 9 4
W | T 7 4
W | W
W | T 6 5
W | W
W | W
W | W
S swordsman | W
W | W
F 2 5 | W
W | W
S swordsman | W
W | T 1 6
W | F 3 3
F 4 1 | T 9 9
W | W
W | W
W | S archer
F 8 3 | W
W | W
T 0 1 | F 7 2
W | W
S swordsman | W
W | F 8 5
S swordsman | S archer
S swordsman | T 6 7
W | T 9 9
W | T 7 6
W | T 4 9
S archer | W
S swordsman | W
W | W
S archer | W
F 9 2 | W
W | S archer
W | F 7 8
S archer | T 3 3
W | W
W | W
S swordsman | W
F 6 8 | F 2 8
T 2 6 | W
W | W
T 5 7 | W
W | S archer
W | W
W | W
W | W
W | T 8 0
S swordsman | W
W | W
F 0 4 | W
F 6 6 | W
W | W
S archer | S archer
W | W
W | F 3 4
W | W
W | F 5 1
F 0 7 | W
W | W
W | W
W | W
W | W
W | S swordsman
T 7 5 | W
W | W
W | W
F 3 1 | W
W | W
W | W
W | F 5 9
F 8 2 | F 5 4
W | F 2 1
W | W
F 0 3 | T 3 6
F 0 7 | W
S swordsman | W
