map:duuuza.json
player1:bot.py
player2:bot_python2.py
T 6 2 | T 9 7
W | S swordsman
W | T 6 8
F 9 8 | W
T 5 1 | W
W | W
F 5 7 | T 3 8
W | W
W | W
W | W
T 5 2 | W
T 3 7 | W
W | T 0 8
W | W
W | S archer
W | T 2 1
W | W
W | W
W | W
W | W
T 8 1 | W
W | W
W | F 1 6
W | W
F 6 0 | S archer
F 9 9 | W
S swordsman | F 0 6
F 3 4 | W
W | W
W | F 0 3
W | W
W | W
T 5 1 | F 8 8
S archer | S archer
W | W
F 2 2 | F 3 5
W | F 9 7
S archer | W
W | S archer
W | F 8 5
W | F 7 5
W | W
W | W
W | W
W | S archer
F 4 2 | W
W | W
W | F 2 6
S archer | W
T 1 1 | W
W | F 1 7
W | W
W | T 7 8
W | F 3 2
W | F 3 5
W | W
W | W
W | W
W | S archer
W | W
S archer | S archer
T 2 5 | S swordsman
T 0 5 | S archer
W | T 6 8
T 8 5 | F 8 1
F 1 1 | W
W | S archer
W | F 6 1
W | W
W | W
F 7 2 | W
W | W
S swordsman | S swordsman
S swordsman | W
W | W
F 9 4 | W
F 2 8 | S swordsman
T 9 3 | S swordsman
W | W
W | W
W | W
W | W
T 1 6 | W
W | W
S swordsman | W
T 2 2 | W
W | S archer
W | W
W | W
W | W
W | W
W | S archer
W | W
W | W
W | W
W | W
F 7 9 | S swordsman
W | W
S archer | W
T 5 1 | W
W | W
F 4 1 | T 7 3
W | W
T 5 0 | F 4 6
F 8 3 | W
W | W
W | S swordsman
W | W
W | S swordsman
W | S swordsman
W | T 5 0
S swordsman | W
W | W
W | T 8 7
W | W
W | T 9 9
T 5 9 | W
W | T 8 8
T 7 8 | T 1 2
W | W
S swordsman | F 8 8
T 2 6 | W
W | W
F 9 6 | S archer
W | S swordsman
W | S swordsman
S archer | W
T 6 3 | W
W | W
S archer | W
T 8 2 | T 1 5
T 6 8 | W
F 9 5 | W
