map:example_map.json
F 2 7 | W
W | W
W | W
W | W
W | W
W | W
S archer | W
S archer | W
W | W
W | S swordsman
T 1 9 | S archer
S archer | T 8 7
W | F 8 6
W | T 3 5
W | W
W | W
W | W
W | F 3 2
W | S swordsman
F 3 1 | W
S archer | W
W | W
F 9 9 | S archer
F 6 6 | W
W | S swordsman
W | T 0 8
W | F 7 5
S swordsman | W
T 2 8 | F 8 5
W | W
T 9 8 | S swordsman
W | F 3 1
W | T 7 5
F 8 6 | S archer
S archer | W
S swordsman | W
S archer | T 4 5
W | W
T 1 9 | W
T 3 7 | W
F 1 8 | W
S swordsman | T 2 5
W | F 2 7
W | S archer
T 9 6 | S swordsman
S swordsman | W
W | F 2 3
F 9 5 | W
F 4 5 | T 5 1
W | W
S swordsman | T 1 2
W | W
T 1 9 | S swordsman
W | W
S swordsman | T 4 0
W | T 7 6
F 3 9 | F 8 9
W | W
W | S archer
W | W
T 1 5 | W
S swordsman | S swordsman
S swordsman | W
W | T 4 9
W | W
W | W
W | T 9 9
W | S swordsman
W | W
W | W
W | W
S swordsman | W
S archer | W
W | T 7 5
W | T 6 1
T 8 4 | T 2 0
S swordsman | W
W | W
W | W
W | W
S swordsman | W
W | F 1 8
F 9 6 | W
W | W
W | W
W | W
S swordsman | W
S archer | W
S swordsman | W
W | W
T 8 7 | W
W | W
W | W
W | S swordsman
S swordsman | W
W | T 8 1
W | T 1 2
W | T 1 4
W | W
S archer | S archer
S archer | W
S archer | W
W | W
S swordsman | W
W | W
W | W
F 8 0 | T 9 3
S swordsman | W
W | W
W | W
F 3 0 | W
W | F 3 4
W | W
S swordsman | W
W | S swordsman
F 9 0 | W
W | W
S swordsman | W
W | S swordsman
W | T 8 2
W | W
F 7 8 | W
W | W
