map:example_map.json
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | S swordsman
S archer | T 8 0
S swordsman | W
S archer | S archer
T 3 9 | W
W | F 0 3
S archer | T 0 0
S archer | F 9 1
T 7 6 | F 7 3
S swordsman | W
F 1 4 | S swordsman
W | F 0 3
F 5 3 | W
W | W
W | F 8 5
W | W
W | W
W | S archer
W | W
W | T 5 7
W | W
S swordsman | T 6 3
S archer | S swordsman
F 5 0 | T 2 0
W | T 1 6
W | S archer
W | F 0 3
W | F 9 6
W | W
W | W
W | S archer
S archer | S archer
F 3 3 | F 3 0
T 6 8 | W
W | W
F 8 4 | W
W | T 0 0
F 8 3 | T 2 5
W | W
S archer | T 8 5
W | W
S archer | W
W | W
S archer | W
