map:example_map.json
W | F 3 5
W | T 7 6
F 5 9 | W
W | W
W | W
W | F 3 6
W | T 1 8
W | F 5 9
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
S swordsman | W
W | W
F 6 7 | T 7 5
T 6 2 | S archer
W | T 6 4
S archer | W
W | T 5 4
W | W
S archer | W
W | W
W | W
W | W
W | W
F 4 9 | S swordsman
W | T 3 6
W | W
W | W
W | W
W | W
W | W
F 2 4 | S archer
W | S swordsman
S swordsman | W
W | S swordsman
S archer | W
W | S archer
W | W
W | W
W | W
W | W
W | W
W | T 9 5
F 9 1 | S swordsman
T 4 2 | W
F 3 6 | S archer
W | W
S swordsman | F 5 0
W | W
T 5 1 | W
S swordsman | W
F 7 5 | W
F 9 3 | W
S archer | W
W | T 5 3
W | T 9 7
W | T 4 0
W | W
W | T 2 2
T 6 6 | F 4 6
W | W
W | W
W | W
T 5 0 | T 3 8
W | F 0 4
W | W
F 0 8 | W
S swordsman | F 9 6
W | T 2 4
W | W
W | S archer
F 7 8 | W
W | S archer
W | W
T 4 2 | W
S archer | W
W | S archer
W | F 8 4
W | W
W | W
W | W
W | W
W | T 8 5
T 3 3 | F 1 9
W | T 9 1
W | W
W | W
T 9 4 | W
W | W
