map:example_map.json
F 3 2 | W
F 5 6 | W
S swordsman | S archer
W | W
T 1 9 | W
T 3 2 | W
T 0 3 | F 6 2
W | W
W | W
W | W
W | W
W | W
F 3 9 | F 4 4
W | S archer
W | S swordsman
S swordsman | W
W | T 2 3
W | W
T 4 2 | W
T 5 4 | W
W | W
T 6 0 | W
W | W
W | W
W | W
W | W
W | W
W | T 1 9
T 7 9 | T 9 0
W | W
T 9 6 | W
W | W
W | W
W | W
W | W
F 8 9 | W
W | T 9 5
W | W
W | F 7 9
W | W
W | W
W | S swordsman
W | S swordsman
W | W
W | W
T 8 1 | W
S archer | W
S archer | T 4 9
W | W
W | F 4 7
S archer | W
W | W
W | F 1 9
W | W
W | W
F 6 1 | T 7 4
W | W
T 2 7 | W
F 9 8 | W
T 6 1 | T 5 4
W | W
W | W
W | T 9 3
W | W
W | W
W | S swordsman
T 6 3 | W
W | W
S swordsman | F 6 3
W | W
W | W
W | F 0 9
F 2 9 | W
F 6 5 | W
S archer | W
W | W
S swordsman | W
F 9 1 | T 0 8
W | T 6 1
W | W
S archer | W
W | W
W | W
S swordsman | W
W | W
S swordsman | W
W | S archer
W | F 9 6
W | W
W | W
W | W
T 1 2 | W
T 8 2 | W
