map:nowa_mapa.json
W | W
F 5 1 | W
W | W
F 8 7 | W
F 8 7 | S archer
W | W
T 1 6 | W
W | S swordsman
S archer | W
W | W
F 3 5 | F 6 1
W | W
W | S archer
W | S swordsman
W | T 3 3
W | W
W | W
W | S archer
W | S archer
T 2 3 | W
S archer | W
F 2 5 | W
T 2 9 | W
S swordsman | W
W | W
W | W
W | W
F 9 3 | T 6 1
W | W
W | W
W | W
W | W
F 3 9 | S archer
S swordsman | F 8 3
W | W
W | W
F 8 8 | W
S swordsman | W
T 4 7 | S swordsman
W | W
W | S archer
W | T 1 3
F 3 9 | T 2 7
W | W
T 4 5 | W
W | W
W | W
W | F 4 7
W | W
T 3 4 | W
W | W
W | F 0 5
