map:nowa_mapa.json
W | T 8 5
S archer | W
S swordsman | F 4 3
F 0 3 | W
S swordsman | W
W | W
W | W
W | W
W | W
W | S archer
F 0 2 | F 0 7
W | W
S swordsman | F 2 4
W | W
W | W
W | W
W | W
T 5 8 | T 9 4
W | W
S swordsman | F 8 6
W | W
F 6 7 | W
T 4 6 | T 7 5
W | S archer
W | W
S archer | T 4 9
W | W
W | T 8 1
F 7 1 | S swordsman
W | W
W | F 6 9
W | S swordsman
T 9 1 | W
W | W
S archer | T 8 4
W | W
T 9 7 | W
F 4 5 | W
W | W
W | F 5 6
S swordsman | W
F 8 8 | W
W | W
T 6 8 | W
W | F 8 4
W | W
W | W
W | T 3 1
F 9 6 | T 8 7
S swordsman | W
F 2 1 | W
