map:nowa_mapa.json
W | F 1 7
W | T 6 5
W | W
T 9 7 | W
F 1 5 | W
F 5 1 | W
F 3 0 | S swordsman
W | W
T 4 0 | S swordsman
W | W
W | W
S archer | W
S swordsman | W
S swordsman | W
S archer | T 6 3
F 2 4 | T 3 8
F 6 1 | W
W | F 3 4
W | W
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
W | T 4 5
W | W
S swordsman | W
W | W
W | F 5 6
W | W
W | W
W | W
W | W
W | F 1 1
W | S swordsman
W | W
W | F 4 5
W | W
F 5 8 | W
W | F 3 0
W | W
W | W
W | F 3 8
F 3 1 | S swordsman
W | W
W | T 6 6
F 2 9 | W
W | F 4 1
F 4 6 | W
S archer | W
F 5 7 | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | S archer
W | T 0 5
S swordsman | W
S archer | W
S archer | W
