map:nowa_mapa.json
T 9 1 | W
W | W
W | W
T 5 7 | W
W | S swordsman
W | S archer
T 6 7 | W
W | T 7 5
S archer | W
W | W
W | W
W | F 6 4
W | T 8 0
S archer | S archer
S archer | W
T 7 7 | W
T 2 9 | T 5 0
W | W
F 7 9 | W
S archer | W
T 2 4 | T 3 9
T 5 7 | F 2 4
W | W
W | W
W | F 3 1
F 3 2 | W
S swordsman | W
W | T 0 4
F 7 6 | T 7 6
W | T 5 1
W | W
F 0 9 | S archer
F 4 0 | W
W | W
W | W
S archer | W
W | W
W | W
F 2 7 | F 4 7
W | W
W | S archer
T 5 7 | F 1 8
W | W
W | W
W | S swordsman
F 0 4 | W
W | S swordsman
W | S swordsman
T 0 6 | T 7 9
W | T 1 4
W | W
W | S swordsman
W | W
W | W
T 7 1 | W
W | W
W | W
W | F 0 8
W | T 3 8
T 1 0 | T 7 4
F 0 9 | S archer
S swordsman | W
W | W
W | W
W | W
S archer | F 3 5
S swordsman | F 2 9
W | F 1 9
W | W
W | W
W | W
T 5 0 | W
T 3 8 | W
S archer | W
F 8 7 | W
W | S swordsman
W | W
F 5 7 | W
T 9 2 | W
T 3 2 | F 7 7
W | W
W | W
T 4 5 | W
W | S archer
S swordsman | W
W | F 1 9
W | W
T 2 1 | W
W | W
T 8 2 | W
T 3 5 | W
W | S swordsman
