map:duza_mapa.json
F 2 8 | S archer
W | W
W | W
F 5 2 | F 0 2
W | W
W | W
W | S swordsman
T 3 9 | S swordsman
F 0 1 | T 6 1
F 3 5 | W
S swordsman | F 2 2
W | W
W | T 0 8
W | W
W | W
W | W
S archer | T 7 3
T 7 8 | W
W | S archer
F 3 5 | W
W | T 8 1
W | T 0 1
W | F 0 9
W | W
S archer | W
S archer | T 5 6
W | W
W | T 9 2
W | W
S swordsman | S archer
F 3 0 | W
T 1 9 | W
W | W
W | T 8 0
W | F 4 1
W | W
W | W
W | W
W | W
F 7 5 | T 5 1
W | S archer
F 9 3 | W
W | W
W | W
W | T 3 2
W | W
W | S archer
T 5 0 | W
W | T 0 7
F 5 0 | W
W | T 7 4
W | W
W | S swordsman
W | W
W | W
S archer | W
W | W
W | F 8 8
W | T 4 2
W | F 9 4
W | W
T 4 6 | W
S archer | W
S archer | W
W | W
T 6 6 | W
W | W
W | W
W | W
W | W
S swordsman | W
W | S archer
W | T 3 9
W | S archer
S swordsman | W
W | W
T 4 8 | T 1 6
W | W
W | W
W | W
W | W
W | S archer
W | W
F 8 8 | W
W | W
W | F 4 2
W | S swordsman
W | W
W | S archer
W | S swordsman
S archer | W
T 6 4 | W
W | W
W | F 4 9
W | W
W | F 2 5
F 2 9 | S swordsman
F 1 9 | W
F 2 8 | T 6 6
W | W
T 7 0 | F 6 1
W | W
W | W
W | F 3 7
W | T 3 2
F 8 0 | T 2 3
T 3 7 | W
S archer | F 8 3
W | W
W | S archer
W | W
T 2 1 | W
S archer | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
T 0 7 | W
T 5 4 | W
F 1 3 | W
W | S swordsman
W | W
