map:duza_mapa.json
F 2 6 | S swordsman
T 3 5 | W
S archer | W
W | W
F 0 4 | W
W | W
S archer | W
W | W
W | W
W | W
W | W
W | F 9 5
W | W
S archer | W
S archer | W
F 7 1 | W
W | W
W | F 8 7
W | S archer
F 3 3 | T 6 1
T 4 3 | T 8 6
W | W
S swordsman | S archer
F 8 6 | T 0 6
F 3 7 | W
W | W
W | F 3 6
W | W
T 6 3 | S swordsman
S archer | W
S archer | S swordsman
W | F 1 8
W | S swordsman
W | W
S swordsman | S swordsman
W | T 8 1
W | W
W | S archer
T 0 6 | W
T 5 2 | W
T 6 8 | W
W | W
F 0 9 | W
W | W
W | T 2 9
W | S swordsman
W | W
W | W
W | W
W | F 0 0
W | W
W | W
W | W
F 4 1 | W
W | W
W | W
W | W
T 1 9 | W
S swordsman | F 8 2
W | W
F 1 5 | W
S swordsman | W
S swordsman | W
F 9 7 | T 5 4
W | F 9 2
S archer | T 5 4
W | W
S swordsman | W
T 5 0 | T 3 1
W | F 2 2
S swordsman | W
W | W
W | S archer
W | W
W | S swordsman
T 5 8 | W
W | S swordsman
W | W
W | T 2 5
W | W
W | W
F 9 2 | T 6 2
W | W
W | W
T 5 7 | W
W | T 4 1
T 7 4 | W
S swordsman | W
W | W
W | W
F 8 0 | T 0 0
F 0 6 | W
W | W
W | W
W | S swordsman
W | T 5 1
S archer | W
T 7 7 | W
S archer | S swordsman
S swordsman | T 4 3
W | S archer
T 8 0 | W
F 3 8 | T 5 6
W | W
F 7 8 | W
W | S swordsman
W | W
S archer | W
T 4 7 | S swordsman
W | W
W | T 5 8
W | W
S archer | W
S archer | F 5 8
F 9 7 | T 1 2
W | W
W | T 8 4
W | W
F 3 3 | T 3 5
W | F 8 8
W | F 1 1
T 2 2 | T 1 4
W | W
F 3 4 | W
W | T 4 4
W | S swordsman
W | W
W | W
W | S swordsman
W | W
W | S swordsman
W | T 8 4
W | W
W | W
W | S archer
F 8 1 | F 9 6
S archer | W
F 9 0 | W
W | W
W | W
T 5 2 | T 4 9
W | W
W | T 0 5
W | W
W | F 6 6
S archer | T 8 1
W | W
W | W
W | T 2 4
S swordsman | T 4 4
S swordsman | W
F 6 9 | F 8 8
W | F 9 7
W | W
T 3 0 | W
W | W
W | W
W | W
T 1 0 | W
W | S swordsman
W | T 2 6
W | S swordsman
W | W
W | F 0 3
W | W
W | W
W | W
S swordsman | F 3 4
W | W
W | F 8 4
T 7 2 | W
W | W
W | W
W | W
W | W
W | W
F 9 7 | F 2 3
W | S archer
T 8 4 | S archer
