map:duza_mapa.json
T 3 0 | F 3 0
T 3 6 | T 7 4
W | S archer
W | W
W | W
F 5 3 | W
T 5 0 | F 3 2
W | F 9 0
W | W
S archer | W
S swordsman | F 1 5
W | T 9 5
F 5 2 | W
W | W
W | F 3 6
W | W
W | W
W | W
W | W
T 0 9 | W
W | T 9 0
F 2 1 | W
W | F 8 5
W | W
W | W
T 8 5 | W
T 6 4 | W
W | W
T 5 3 | W
W | W
W | S swordsman
F 3 5 | W
T 5 2 | F 0 3
W | W
W | W
W | S swordsman
W | W
W | W
T 3 4 | W
F 1 7 | F 1 8
W | W
W | T 2 0
T 3 3 | W
S archer | W
T 1 9 | F 3 0
S archer | S archer
F 5 3 | W
S archer | T 7 9
F 4 8 | F 7 6
W | W
W | T 8 5
S swordsman | W
W | S archer
W | W
W | T 4 8
W | W
W | T 3 3
T 1 9 | W
F 8 4 | W
S archer | S archer
S archer | W
W | W
W | W
W | T 6 6
W | W
T 5 2 | W
W | W
W | T 8 8
W | W
W | W
W | W
W | W
W | W
W | W
S archer | W
W | W
S swordsman | W
W | W
W | W
W | T 9 2
W | W
W | W
W | W
W | W
W | T 2 8
W | W
W | T 4 3
T 4 1 | W
W | W
W | W
W | W
S swordsman | W
W | F 3 4
F 9 9 | T 6 2
W | W
W | W
W | S swordsman
S archer | W
W | W
T 3 1 | W
W | W
W | W
T 9 5 | W
S swordsman | F 8 1
W | F 0 4
T 0 6 | W
W | F 2 9
W | W
W | W
F 5 0 | W
W | W
S swordsman | W
F 8 9 | T 2 8
S archer | F 6 0
W | W
T 8 6 | F 4 9
W | W
W | W
S swordsman | W
T 7 0 | T 4 5
S swordsman | W
F 0 2 | W
S archer | W
W | W
T 2 2 | W
F 6 3 | W
W | W
S swordsman | S swordsman
W | T 2 9
W | W
F 0 9 | W
W | W
W | S archer
W | W
W | F 7 0
T 5 1 | T 6 9
T 1 3 | S archer
S archer | T 7 6
W | W
W | W
W | T 9 8
W | F 2 6
S swordsman | W
W | W
F 3 4 | W
W | T 5 3
W | F 9 6
W | W
W | W
W | W
W | S archer
T 8 1 | W
F 2 7 | W
W | T 8 2
W | F 3 0
W | W
F 7 2 | W
W | W
W | W
W | F 9 2
W | T 7 3
W | W
W | T 0 0
S archer | W
