map:duza_mapa.json
W | W
T 8 5 | T 0 2
W | T 7 1
W | W
W | W
W | W
T 2 8 | W
S swordsman | W
W | S swordsman
S swordsman | W
F 8 5 | W
F 3 9 | W
F 6 7 | W
F 2 4 | W
W | W
F 4 1 | W
T 5 5 | S archer
W | W
W | W
S archer | W
W | W
F 0 3 | W
T 6 9 | W
F 6 1 | W
T 3 1 | W
S archer | W
W | W
W | W
S swordsman | F 1 1
W | F 9 5
W | S archer
F 4 1 | W
W | T 6 7
W | W
T 1 2 | F 9 2
W | W
F 8 7 | W
S swordsman | W
S swordsman | W
W | W
T 3 2 | W
W | W
W | W
W | W
S archer | F 5 8
W | W
S swordsman | W
W | F 6 9
W | W
S swordsman | W
W | W
S archer | W
W | W
W | F 2 1
W | S archer
W | F 0 7
W | S archer
W | F 2 9
W | W
W | W
F 3 5 | W
W | S archer
S archer | F 7 9
W | T 2 1
W | W
T 7 8 | F 5 9
F 6 2 | S swordsman
W | W
F 7 3 | W
W | W
F 0 4 | W
W | W
W | S archer
F 2 7 | T 6 1
W | W
T 0 9 | W
S swordsman | F 6 6
F 7 2 | F 2 0
W | W
W | W
W | T 4 4
W | W
