map:duza_mapa.json
S swordsman | W
W | W
T 2 7 | W
S swordsman | W
F 5 9 | S archer
T 0 2 | F 7 7
W | T 3 8
W | W
T 2 2 | W
W | W
S archer | W
W | F 0 0
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
T 5 8 | W
W | W
S archer | W
W | W
W | W
W | F 6 4
T 4 5 | W
F 2 5 | W
S swordsman | W
F 0 5 | T 6 0
W | W
W | W
F 4 7 | T 5 3
S archer | S archer
T 2 9 | W
W | W
W | W
W | W
W | S archer
F 0 0 | W
W | W
W | T 6 4
F 8 9 | W
F 4 8 | S archer
W | W
T 8 9 | F 9 2
W | W
W | T 8 3
W | W
W | T 6 2
W | F 6 7
S archer | W
W | W
W | S swordsman
T 8 6 | W
W | W
T 9 4 | W
W | S swordsman
W | W
W | W
W | T 3 3
W | F 9 7
S swordsman | W
F 0 2 | S swordsman
T 1 3 | W
W | T 7 3
W | S swordsman
W | W
W | W
W | T 9 5
W | W
S swordsman | W
W | W
W | T 4 0
W | T 6 6
W | W
F 0 3 | W
T 6 4 | T 9 5
