map:sdfsfsd.json
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | T 5 0
T 0 9 | W
W | W
W | W
F 5 2 | F 5 1
W | W
W | W
W | S archer
F 6 1 | W
W | W
F 9 1 | W
W | W
S swordsman | W
F 6 8 | T 3 6
T 2 9 | F 7 6
F 9 8 | S archer
W | W
F 5 6 | W
W | S swordsman
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | T 8 7
W | W
W | S archer
S archer | W
W | W
W | W
F 2 3 | W
S swordsman | W
W | W
W | W
T 8 9 | T 6 2
W | W
S archer | W
F 0 9 | W
W | S swordsman
W | W
W | S swordsman
W | F 8 7
W | T 9 4
W | T 7 4
W | S archer
W | W
W | W
W | W
F 8 5 | W
S archer | T 3 3
W | S swordsman
W | W
W | W
W | W
W | F 3 4
W | W
T 2 5 | W
W | W
S archer | W
F 8 5 | W
W | T 6 9
S archer | F 6 4
W | W
F 6 7 | W
T 8 6 | S swordsman
W | W
W | W
W | W
W | T 3 9
W | S swordsman
T 5 5 | S archer
