map:duza_mapa.json
W | W
S archer | W
W | F 7 5
W | W
S archer | W
W | W
S archer | F 7 7
W | S archer
F 1 3 | F 7 1
S archer | W
T 7 9 | W
S archer | W
W | F 4 8
W | W
S swordsman | W
W | T 0 9
W | F 5 9
W | W
S archer | W
W | W
W | W
W | W
T 0 0 | W
W | T 5 5
W | W
F 2 1 | W
W | W
W | T 2 6
W | S archer
S swordsman | W
F 1 2 | W
W | W
S archer | W
S archer | W
T 2 3 | T 1 6
W | W
T 9 6 | W
W | T 0 8
W | F 5 5
T 0 7 | W
W | W
T 6 7 | S archer
W | T 3 2
W | W
W | W
W | W
T 5 7 | T 2 9
W | W
W | W
