map:nowa_mapa.json
player1:maciek_bot.py
player2:random_bot.py
F 0 6 | T 10 1
F 0 7 | F 6 4
F 0 8 | F 13 6
F 0 9 | T 2 6
F 1 6 | T 3 5
F 1 7 | S archer
F 1 8 | S swordsman
F 1 9 | F 3 1
F 2 6 | S swordsman
F 2 7 | F 11 9
F 2 8 | F 13 6
F 2 9 | S swordsman
F 3 6 | F 8 8
F 3 7 | T 10 1
F 3 8 | F 11 0
F 3 9 | S swordsman
F 4 6 | F 7 1
F 4 7 | S swordsman
F 4 8 | F 12 0
F 4 9 | S swordsman
F 5 6 | F 11 4
F 5 7 | T 2 7
F 5 8 | F 12 5
F 5 9 | W
F 6 6 | T 12 4
F 6 7 | F 13 8
F 6 8 | T 4 4
S swordsman | T 2 4
S swordsman | W
S swordsman | F 4 5
S swordsman | T 7 9
S swordsman | W
S swordsman | F 4 7
S swordsman | S archer
S swordsman | T 12 4
S swordsman | W
F 6 9 | F 13 5
S swordsman | T 2 1
S swordsman | W
S swordsman | S archer
S swordsman | F 10 2
F 7 7 | W
F 7 8 | T 8 4
F 7 9 | F 12 0
F 8 8 | T 14 3
F 8 9 | S swordsman
F 9 8 | T 12 9
F 9 9 | T 6 9
F 10 0 | S swordsman
F 10 8 | W
F 10 9 | F 1 5
F 11 0 | F 9 6
F 12 0 | F 2 2
F 13 0 | S swordsman
F 13 1 | W
F 14 0 | S archer
F 14 1 | S swordsman
F 14 2 | W
T 0 0 | F 10 3
T 0 1 | W
T 1 0 | F 7 5
T 0 2 | F 10 1
T 1 1 | F 10 5
T 2 0 | T 7 5
T 0 3 | F 6 4
T 1 2 | S archer
T 2 1 | W
T 3 0 | W
T 0 4 | T 8 2
T 1 3 | S archer
T 2 2 | W
T 3 1 | F 4 4
T 4 0 | W
T 0 5 | F 14 2
T 1 4 | T 13 3
S swordsman | F 8 6
T 2 3 | T 6 6
T 3 2 | F 0 1
S swordsman | T 1 3
T 4 1 | S archer
T 5 0 | W
T 1 5 | T 1 9
T 2 4 | W
T 3 3 | S swordsman
T 4 2 | S archer
T 5 1 | W
T 6 0 | W
T 2 5 | W
T 3 4 | W
T 4 3 | S archer
T 5 2 | S swordsman
T 6 1 | T 1 1
T 7 0 | T 2 9
T 3 5 | T 4 7
T 4 4 | F 12 6
T 5 3 | T 12 1
T 6 2 | F 3 0
T 7 1 | W
T 8 0 | W
T 4 5 | S archer
T 5 4 | S swordsman
T 6 3 | T 9 7
T 7 2 | W
T 8 1 | S archer
T 9 0 | T 4 1
T 5 5 | S archer
T 6 4 | W
T 7 3 | T 14 1
T 8 2 | T 10 4
T 9 1 | T 1 5
T 6 5 | T 1 4
T 7 4 | T 10 3
T 8 3 | W
T 9 2 | F 1 3
T 10 1 | W
T 7 5 | W
T 8 4 | F 4 1
T 9 3 | W
T 10 2 | W
T 11 1 | T 7 9
T 7 6 | S archer
T 8 5 | W
T 9 4 | S archer
T 10 3 | T 1 4
T 11 2 | F 8 5
T 12 1 | W
T 8 6 | F 3 4
T 9 5 | S swordsman
T 10 4 | S archer
T 11 3 | T 4 2
T 12 2 | F 11 9
T 8 7 | F 13 6
T 9 6 | F 7 1
T 10 5 | F 6 5
T 11 4 | S archer
T 12 3 | S archer
T 13 2 | T 9 5
T 9 7 | S swordsman
T 10 6 | T 2 2
T 11 5 | T 13 9
T 12 4 | W
T 13 3 | F 7 4
T 10 7 | W
T 11 6 | W
T 12 5 | S swordsman
T 13 4 | W
T 14 3 | T 2 7
T 11 7 | S swordsman
T 12 6 | W
T 13 5 | S swordsman
T 14 4 | F 13 1
T 11 8 | T 1 0
T 12 7 | W
T 13 6 | F 8 0
T 14 5 | S swordsman
T 11 9 | T 2 7
T 12 8 | F 14 6
T 13 7 | S archer
T 14 6 | T 11 9
T 12 9 | T 7 2
T 13 8 | W
T 14 7 | T 8 6
T 13 9 | S swordsman
T 14 8 | S archer
T 14 9 | S swordsman
S swordsman | W
S swordsman | T 2 2
S swordsman | T 12 5
S swordsman | F 0 4
S swordsman | T 8 4
S swordsman | F 13 7
S swordsman | W
S swordsman | W
S swordsman | T 14 4
S swordsman | T 12 9
S swordsman | T 9 3
S swordsman | F 4 5
S swordsman | T 13 2
S swordsman | F 13 0
S swordsman | W
S swordsman | S swordsman
S swordsman | W
S swordsman | S swordsman
S swordsman | S archer
S swordsman | W
S swordsman | S archer
S swordsman | S archer
S swordsman | S swordsman
S swordsman | W
S swordsman | W
S swordsman | T 14 1
S swordsman | F 7 1
S swordsman | S archer
S swordsman | T 11 8
S swordsman | T 2 6
S swordsman | W
S swordsman | W
S swordsman | S swordsman
