map:duuuza.json
player1:maciek_bot.py
player2:random_bot.py
F 0 4 | F 4 8
F 0 5 | T 0 14
F 0 6 | F 13 4
F 0 7 | S swordsman
F 0 8 | T 15 11
F 0 9 | F 11 8
F 0 10 | W
F 0 11 | F 11 16
F 0 12 | T 1 8
F 0 13 | S swordsman
F 0 14 | F 0 6
F 0 15 | S swordsman
F 0 16 | F 9 4
F 0 17 | T 19 5
F 0 18 | F 8 2
F 0 19 | T 9 2
F 1 4 | F 10 0
F 1 5 | S swordsman
F 1 6 | F 0 11
F 1 7 | W
F 1 8 | T 10 3
F 1 9 | S archer
F 1 10 | F 9 14
F 1 11 | S archer
F 1 12 | S swordsman
F 1 13 | W
F 1 14 | S swordsman
F 1 15 | F 2 15
F 1 16 | S swordsman
F 1 17 | S archer
F 1 18 | S archer
F 1 19 | W
F 2 5 | W
F 2 6 | W
F 2 7 | T 18 16
F 2 8 | T 8 1
F 2 9 | T 16 7
F 2 10 | F 1 19
F 2 11 | S archer
F 2 12 | F 12 14
S swordsman | T 16 13
F 2 13 | W
F 2 14 | F 0 0
F 2 15 | W
F 2 16 | F 13 5
F 2 17 | W
S swordsman | S archer
S swordsman | F 13 14
S swordsman | F 5 5
S swordsman | F 2 11
S swordsman | F 3 15
S swordsman | S swordsman
F 2 18 | T 8 1
F 2 19 | W
S swordsman | T 11 14
S swordsman | S archer
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | F 9 12
F 3 6 | S archer
F 3 7 | S archer
S swordsman | F 18 12
S swordsman | W
S swordsman | S swordsman
F 3 8 | S archer
F 3 9 | S swordsman
F 3 10 | W
F 3 11 | F 19 7
F 3 12 | W
F 3 13 | F 6 9
F 3 14 | S swordsman
F 3 15 | W
F 3 16 | S swordsman
F 3 17 | F 1 15
F 3 18 | F 7 15
F 3 19 | F 4 8
F 4 7 | T 4 15
F 4 8 | T 4 19
F 4 9 | T 3 5
F 4 10 | S archer
F 4 11 | W
F 4 12 | T 10 6
F 4 13 | W
F 4 14 | W
F 4 15 | S swordsman
F 4 16 | W
F 4 17 | W
F 4 18 | W
F 4 19 | W
F 5 8 | T 8 3
F 5 9 | T 10 1
S swordsman | F 10 9
S swordsman | W
S swordsman | T 5 19
S swordsman | W
S swordsman | F 19 8
S swordsman | T 0 16
S swordsman | S archer
F 5 10 | T 1 4
F 5 11 | F 17 12
S swordsman | F 13 4
S swordsman | W
S swordsman | T 18 13
S swordsman | T 7 8
F 5 12 | F 7 0
F 5 13 | F 18 5
F 5 14 | S archer
S swordsman | F 0 18
F 5 15 | F 8 0
F 5 16 | W
F 5 17 | T 16 3
S swordsman | T 5 16
F 5 18 | F 16 16
F 5 19 | T 15 8
F 6 8 | T 18 1
F 6 9 | T 17 7
F 6 10 | F 15 2
F 6 11 | T 2 10
F 6 12 | T 19 0
F 6 13 | T 16 4
F 6 14 | F 0 12
F 6 15 | F 7 1
F 6 16 | T 2 13
F 6 17 | F 16 2
F 6 18 | W
F 6 19 | W
F 7 0 | F 9 16
F 7 8 | T 2 8
F 7 9 | T 0 13
F 7 10 | S swordsman
F 7 11 | W
F 7 12 | S archer
F 7 13 | F 8 2
F 7 14 | W
F 7 15 | W
F 7 16 | W
F 7 17 | W
F 7 18 | S archer
F 7 19 | S archer
F 8 0 | W
F 8 8 | F 12 8
F 8 9 | S archer
F 8 10 | S swordsman
F 8 11 | F 13 18
F 8 12 | F 6 19
F 8 13 | T 14 0
F 8 14 | T 5 15
F 8 15 | T 17 18
F 8 16 | F 19 0
F 8 17 | T 14 9
F 8 18 | F 5 6
F 8 19 | T 3 9
F 9 0 | F 18 2
F 9 8 | T 9 3
F 9 9 | S swordsman
F 9 10 | T 15 9
F 9 11 | F 5 8
F 9 12 | F 15 10
F 9 13 | W
F 9 14 | T 16 4
F 9 15 | W
F 9 16 | W
F 9 17 | W
F 9 18 | T 8 12
F 9 19 | S archer
F 10 0 | T 15 8
S swordsman | F 10 17
F 10 8 | W
S swordsman | S archer
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | F 18 17
S swordsman | F 15 7
S swordsman | T 1 5
S swordsman | W
S swordsman | T 9 4
S swordsman | F 18 8
S swordsman | S swordsman
S swordsman | T 2 17
S swordsman | S archer
F 10 9 | S archer
F 10 10 | F 8 4
F 10 11 | T 9 15
F 10 12 | W
F 10 13 | F 4 0
F 10 14 | T 7 16
F 10 15 | S archer
F 10 16 | S swordsman
F 10 17 | F 13 5
F 10 18 | F 6 3
F 10 19 | F 9 4
F 11 0 | S archer
F 11 9 | W
F 11 10 | W
F 11 11 | F 0 5
F 11 12 | W
F 11 13 | S archer
F 11 14 | W
F 11 15 | S swordsman
S swordsman | F 13 10
F 11 16 | S swordsman
F 11 17 | S swordsman
S swordsman | S swordsman
F 11 18 | F 1 8
F 11 19 | W
F 12 0 | T 2 18
F 12 1 | F 12 9
F 12 10 | W
F 12 11 | S archer
F 12 12 | T 4 7
F 12 13 | T 5 16
F 12 14 | S archer
F 12 15 | F 2 14
F 12 16 | T 15 19
F 12 17 | T 14 1
F 12 18 | W
S swordsman | S swordsman
S swordsman | F 10 10
S swordsman | T 17 4
