map:example_map.json
F 8 6 | W
W | W
W | W
W | S archer
W | W
W | W
W | W
W | W
T 6 1 | T 0 7
W | F 7 8
W | F 7 0
T 1 5 | F 4 8
W | W
T 1 7 | W
F 7 7 | F 8 8
F 9 5 | W
W | W
W | T 9 7
T 1 1 | W
W | T 6 7
S swordsman | W
F 2 8 | W
W | F 7 8
W | W
W | T 7 1
F 6 1 | W
S archer | W
T 0 6 | W
S archer | T 6 5
W | F 8 3
T 1 7 | W
T 4 9 | W
S archer | W
W | W
W | W
W | F 4 2
W | S archer
F 1 3 | S swordsman
W | W
W | W
W | F 5 3
W | W
F 5 9 | W
W | W
W | W
T 6 6 | W
W | W
W | S swordsman
F 5 0 | F 0 4
T 4 9 | W
W | F 4 5
W | F 5 2
F 7 5 | W
F 0 4 | T 2 5
W | T 3 7
W | W
W | W
W | W
W | W
W | F 5 8
W | T 7 1
W | W
F 9 0 | F 7 3
W | F 0 0
W | W
W | W
W | W
T 2 8 | S archer
T 1 5 | T 8 0
F 2 9 | W
W | S archer
W | W
W | F 9 0
F 8 8 | W
W | T 0 7
T 4 5 | W
W | T 1 0
W | W
W | F 9 0
T 0 4 | W
W | F 8 3
W | W
T 6 7 | W
F 4 3 | W
W | W
F 4 8 | W
W | W
