map:nowa_mapa.json
W | S archer
W | T 4 8
W | W
W | F 7 2
W | F 9 0
S swordsman | W
S swordsman | T 7 7
W | S archer
W | F 8 8
W | W
F 6 1 | W
W | W
T 6 2 | S swordsman
W | T 5 4
F 5 9 | W
W | W
W | F 9 0
W | T 5 0
F 1 6 | W
F 9 1 | W
S archer | W
F 7 2 | W
F 9 1 | S swordsman
W | W
F 1 2 | F 7 2
W | W
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
S archer | W
T 9 9 | S archer
T 9 9 | T 8 1
S archer | F 0 7
W | W
S archer | W
W | T 2 5
W | W
T 8 4 | W
T 3 1 | W
F 0 1 | T 2 0
W | W
W | S swordsman
W | W
F 4 9 | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
F 6 7 | W
W | W
W | W
W | W
W | F 8 2
W | W
T 7 4 | T 9 8
W | W
W | W
S swordsman | S archer
T 0 8 | W
W | W
