map:nowa_mapa.json
S archer | S archer
S swordsman | T 3 3
S swordsman | W
T 4 7 | W
F 8 0 | W
W | W
W | F 3 3
W | W
W | S swordsman
W | W
W | S archer
W | S archer
F 7 1 | T 8 9
W | S swordsman
W | W
W | W
T 0 1 | T 5 2
T 5 3 | W
S swordsman | W
W | T 1 7
W | W
S swordsman | T 1 5
W | T 6 0
W | W
W | W
W | W
F 4 4 | T 9 1
S swordsman | T 8 4
F 4 4 | F 2 8
F 7 6 | W
W | F 7 8
W | W
W | W
W | W
W | W
T 6 4 | W
W | T 8 7
F 0 5 | W
W | W
W | T 8 6
S archer | T 6 5
W | W
S archer | W
W | W
W | W
W | W
W | W
W | S swordsman
W | T 3 1
F 2 0 | T 9 2
F 4 6 | W
W | F 5 3
T 6 7 | S swordsman
W | S swordsman
T 5 4 | W
S swordsman | W
W | W
F 8 7 | W
W | S swordsman
W | W
W | W
W | W
W | W
W | T 5 4
W | W
S swordsman | W
W | W
W | W
W | F 6 6
F 5 0 | W
S swordsman | W
W | W
W | S swordsman
F 4 6 | W
F 7 0 | S archer
W | W
W | S archer
S swordsman | T 6 7
S swordsman | T 1 9
W | S swordsman
W | W
S swordsman | W
W | W
W | W
T 6 8 | F 2 9
F 3 9 | F 1 5
F 3 1 | S swordsman
W | F 8 5
W | T 8 5
S swordsman | W
W | W
W | W
W | W
W | W
W | W
F 1 2 | T 4 5
W | S swordsman
W | T 3 5
W | W
F 4 6 | W
T 3 2 | W
S swordsman | W
F 4 0 | S archer
W | W
S archer | W
F 6 1 | W
T 5 3 | W
S swordsman | T 4 4
F 4 5 | W
W | W
W | F 7 4
W | W
W | W
W | S archer
W | W
W | W
W | F 9 8
W | W
W | W
T 2 2 | T 7 0
W | W
W | W
T 1 3 | W
W | W
W | S archer
