map:nowa_mapa.json
W | W
T 2 2 | W
W | W
W | W
T 3 1 | T 9 7
W | W
W | W
W | F 2 6
W | W
T 8 6 | F 5 7
W | S archer
F 7 1 | W
F 4 3 | W
S swordsman | W
W | W
F 7 0 | W
F 0 4 | F 0 1
W | T 6 8
W | W
F 5 4 | F 0 9
S archer | S archer
F 9 5 | S swordsman
W | S swordsman
F 7 9 | T 6 5
S swordsman | W
F 8 0 | W
T 7 2 | W
W | F 8 3
W | W
W | W
W | W
W | F 3 8
W | T 8 4
S archer | W
W | F 5 8
S archer | F 2 9
W | S swordsman
F 7 1 | F 0 5
F 6 9 | W
W | T 9 7
W | W
F 7 9 | T 9 4
S swordsman | W
W | F 6 2
W | S archer
T 7 8 | W
F 4 2 | T 1 5
F 4 1 | S swordsman
F 0 8 | F 1 2
W | W
W | W
W | W
S swordsman | F 8 8
F 1 6 | W
W | W
S swordsman | W
W | W
W | W
W | W
T 5 6 | W
W | W
W | W
F 6 1 | W
W | W
W | F 1 1
W | W
W | W
F 2 3 | T 9 4
W | S swordsman
T 9 9 | W
W | W
W | W
F 1 9 | S swordsman
F 5 4 | W
W | S archer
S archer | F 6 2
W | S swordsman
W | W
W | S archer
S archer | W
W | W
F 3 0 | W
W | S archer
F 8 0 | W
W | S swordsman
S archer | F 7 0
T 8 2 | W
W | S archer
W | W
F 6 2 | W
T 4 0 | W
T 2 9 | W
S archer | S swordsman
T 2 6 | W
T 6 0 | W
W | F 0 7
W | W
W | W
T 6 3 | T 7 0
T 6 2 | W
W | W
W | T 6 1
