map:example_map.json
F 8 7 | W
W | W
F 7 8 | F 8 4
W | W
W | W
S archer | T 0 7
W | W
W | W
W | W
W | S swordsman
T 2 6 | T 6 8
F 9 1 | F 6 2
T 6 6 | T 7 2
W | T 5 7
W | W
W | T 8 7
F 0 6 | T 2 9
W | W
T 4 0 | F 6 3
W | W
W | W
W | W
S swordsman | F 1 4
W | W
W | W
W | S archer
W | W
W | W
S swordsman | T 1 4
W | W
W | W
T 1 3 | F 9 0
S archer | W
F 3 5 | S swordsman
W | W
W | S archer
W | F 6 6
S swordsman | W
W | W
T 9 2 | W
W | W
W | F 8 8
F 7 8 | W
F 4 3 | W
W | T 5 0
F 6 1 | T 3 1
W | S swordsman
F 8 0 | F 5 4
S swordsman | W
T 4 0 | T 8 8
W | W
S swordsman | T 2 1
T 0 7 | T 7 2
W | F 2 2
W | S swordsman
W | S swordsman
F 4 6 | W
W | S swordsman
W | T 1 5
W | W
W | W
W | W
W | W
W | T 2 7
T 9 0 | W
W | S archer
W | W
W | S swordsman
W | S archer
W | W
W | W
W | S swordsman
T 5 5 | T 9 7
W | W
W | F 3 2
S swordsman | F 0 6
W | W
W | F 0 7
W | S archer
W | W
S archer | W
W | W
W | F 4 8
W | S swordsman
W | T 9 5
W | F 5 4
W | S swordsman
S swordsman | W
W | W
W | W
W | T 5 2
W | S swordsman
W | W
W | W
F 8 1 | S swordsman
W | W
F 3 8 | W
S swordsman | F 9 2
W | W
W | W
W | W
W | W
T 3 4 | W
W | T 4 4
W | W
W | S swordsman
