map:example_map.json
S archer | W
W | W
W | W
W | T 1 5
F 3 2 | W
W | T 5 7
W | S archer
W | F 5 7
S swordsman | T 8 4
W | S swordsman
W | S swordsman
W | W
F 0 3 | W
S swordsman | S swordsman
W | W
F 0 6 | F 1 4
W | W
W | S swordsman
W | W
W | W
W | S archer
W | W
F 3 7 | W
W | W
W | W
W | W
W | W
S archer | W
W | W
W | W
W | T 1 5
W | W
F 3 7 | W
F 5 9 | W
F 5 4 | T 3 9
S swordsman | W
W | W
W | T 6 7
S archer | S swordsman
W | T 7 9
W | W
W | W
F 1 3 | T 5 0
F 8 8 | W
W | W
T 6 9 | W
F 1 4 | T 0 3
S archer | T 3 8
W | W
W | W
W | W
W | T 4 3
