map:example_map.json
W | T 1 1
S swordsman | T 0 4
W | W
W | W
F 9 2 | W
W | F 1 7
W | F 5 4
F 1 7 | W
W | W
W | W
W | F 3 8
W | W
W | W
W | T 2 5
F 4 5 | F 5 5
T 5 3 | S swordsman
T 8 3 | W
T 6 6 | F 1 0
F 8 0 | S swordsman
W | W
S swordsman | W
W | W
W | W
T 0 1 | W
W | W
W | T 4 3
W | S archer
W | W
T 4 5 | W
W | F 9 4
T 0 6 | W
W | W
S swordsman | T 9 8
S swordsman | W
W | W
W | W
T 7 8 | T 8 3
W | F 8 9
W | T 0 8
W | S archer
W | W
T 4 1 | S swordsman
S swordsman | F 8 3
W | F 5 4
W | S archer
W | W
T 7 0 | W
F 9 4 | W
W | T 2 5
T 0 8 | W
W | W
W | W
W | W
W | W
F 9 3 | F 8 5
W | W
F 5 2 | W
W | F 4 9
W | W
W | W
T 7 6 | W
F 4 2 | W
S archer | W
W | W
S archer | W
W | W
W | W
W | W
W | W
W | F 0 7
T 0 8 | W
T 9 5 | W
