map:example_map.json
T 5 2 | F 6 0
F 4 3 | T 2 1
W | S swordsman
W | W
W | W
T 6 6 | W
W | T 7 9
F 6 3 | W
S swordsman | F 1 8
W | W
F 3 4 | F 3 8
W | T 6 9
W | W
W | W
T 3 1 | W
S archer | S archer
W | W
W | W
S archer | W
F 0 0 | W
T 6 2 | T 7 5
T 4 9 | F 2 6
W | F 8 7
F 1 1 | W
T 3 3 | W
F 0 2 | W
W | F 9 5
T 1 3 | S archer
W | W
F 2 6 | S swordsman
S swordsman | T 4 8
S swordsman | W
T 6 0 | W
W | W
F 9 4 | T 4 3
F 3 4 | W
T 6 5 | W
F 6 0 | T 0 5
S archer | S swordsman
F 0 4 | W
W | W
S archer | W
W | W
W | S swordsman
W | W
W | S swordsman
W | W
W | W
W | T 9 6
W | W
W | T 3 4
W | S swordsman
W | W
S archer | S swordsman
S archer | F 3 6
W | W
S archer | W
W | W
W | W
W | F 8 3
F 9 3 | W
W | T 4 2
W | W
S archer | W
W | W
W | T 4 0
W | T 0 9
W | S archer
W | W
W | S archer
W | W
W | W
W | W
T 5 0 | S archer
W | T 9 7
W | W
S swordsman | W
T 5 8 | W
T 4 7 | W
F 2 6 | W
W | F 7 1
W | W
