map:example_map.json
F 0 1 | F 3 8
S swordsman | F 2 8
W | W
F 5 1 | S archer
W | S archer
S swordsman | W
W | S archer
W | W
W | W
S swordsman | W
W | W
W | W
W | S archer
T 0 5 | W
W | S swordsman
W | W
W | W
S swordsman | T 8 9
W | T 3 3
T 6 0 | W
W | T 7 6
T 0 3 | F 6 5
F 3 8 | W
W | W
T 5 5 | W
W | W
W | T 8 6
W | W
F 9 5 | W
F 7 1 | T 8 5
W | F 1 3
T 1 8 | W
W | F 9 1
F 8 5 | W
F 5 3 | W
T 3 9 | S swordsman
W | W
W | F 8 0
W | W
T 8 1 | W
F 0 0 | W
T 3 2 | T 7 4
W | W
W | T 0 2
T 2 4 | W
W | W
W | F 9 6
W | W
T 1 1 | T 2 4
W | W
W | W
W | S archer
W | F 0 6
W | W
F 2 1 | W
W | W
F 0 0 | W
W | S archer
S archer | W
W | W
F 1 8 | W
W | W
W | W
S archer | W
W | W
W | W
W | W
W | W
W | W
F 1 9 | W
W | S swordsman
T 2 1 | F 8 9
W | S swordsman
W | F 0 0
W | T 2 3
W | W
W | W
W | W
S archer | W
T 0 6 | W
S archer | W
W | S swordsman
W | W
W | S swordsman
S archer | W
W | W
W | W
W | W
W | F 5 9
W | S archer
W | W
W | T 1 6
W | S swordsman
T 3 5 | F 8 8
F 1 3 | T 9 3
S swordsman | W
W | W
T 4 1 | W
S archer | W
F 7 5 | F 2 4
T 3 7 | W
W | W
T 9 9 | W
T 8 9 | W
S swordsman | W
W | W
F 5 5 | W
W | W
T 2 5 | W
W | F 8 6
W | W
F 0 1 | F 8 6
F 0 5 | W
