map:example_map.json
T 6 7 | W
W | W
F 6 2 | W
T 0 3 | W
W | F 2 5
W | W
W | W
W | W
W | W
W | F 2 3
T 5 5 | W
T 3 6 | W
S swordsman | W
F 7 2 | W
W | T 4 4
W | W
W | W
W | W
W | W
W | W
W | F 1 5
S swordsman | W
T 7 3 | S archer
F 5 8 | T 7 7
W | W
W | S swordsman
W | S archer
W | W
S archer | T 1 3
S swordsman | W
W | F 8 3
W | T 0 7
T 2 4 | W
S swordsman | W
W | S swordsman
W | F 6 7
F 4 0 | S archer
W | W
S swordsman | T 1 7
W | W
W | W
W | W
F 1 9 | W
W | S archer
W | W
W | W
W | W
W | W
W | S swordsman
W | F 8 2
F 0 5 | W
F 6 1 | W
W | W
W | T 7 6
W | W
T 4 8 | S archer
F 0 6 | F 7 4
W | W
W | S archer
W | W
W | W
T 4 8 | W
S archer | F 7 9
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
F 0 0 | W
S archer | W
W | W
F 8 3 | F 4 3
S archer | F 9 9
S archer | W
W | W
S swordsman | W
W | S swordsman
W | T 4 5
W | W
W | W
W | W
W | W
W | W
T 9 3 | T 7 0
W | W
S swordsman | W
F 2 7 | T 3 2
W | W
W | S archer
S archer | W
W | W
W | W
W | T 4 3
W | F 0 9
T 1 5 | W
W | S archer
W | T 8 1
W | T 5 7
T 4 5 | T 3 3
S swordsman | S swordsman
S swordsman | W
W | W
S archer | W
W | W
S archer | S swordsman
W | W
W | W
W | W
F 9 2 | W
T 8 3 | W
W | W
W | W
W | W
W | W
W | W
