map:example_map.json
W | F 9 9
T 9 7 | T 1 0
W | T 8 0
S swordsman | W
W | W
W | W
W | F 8 9
W | S swordsman
W | W
W | S archer
W | S swordsman
T 4 3 | W
F 2 1 | W
S archer | W
W | W
T 2 4 | W
W | W
W | W
W | W
W | W
T 0 7 | S swordsman
W | S archer
W | T 9 2
W | W
W | W
S swordsman | T 2 7
F 2 9 | W
F 1 2 | W
W | W
S archer | W
W | T 2 8
S archer | T 8 4
T 1 7 | T 9 0
W | W
W | W
T 5 5 | F 9 8
W | T 9 3
T 3 9 | W
W | F 1 9
T 3 9 | W
W | W
T 2 2 | W
W | W
F 8 4 | T 5 7
W | T 7 6
W | W
S swordsman | W
F 8 0 | W
S archer | S swordsman
F 6 4 | W
W | W
W | W
W | W
