map:example_map.json
W | S swordsman
F 5 9 | W
T 5 2 | W
W | W
W | S swordsman
W | F 7 2
W | T 3 4
F 4 1 | T 1 1
S archer | W
W | W
S swordsman | W
W | W
S swordsman | F 5 1
S archer | W
W | W
W | W
W | W
F 0 1 | W
W | F 1 5
W | W
W | F 7 5
W | T 6 7
W | S archer
F 3 6 | W
W | W
W | F 3 7
S archer | W
W | S archer
W | W
W | S swordsman
T 1 0 | W
F 3 1 | T 9 9
W | W
F 2 7 | W
W | S archer
W | W
W | W
S archer | W
T 3 5 | W
W | W
S archer | T 1 2
W | S swordsman
T 1 9 | W
W | W
F 9 3 | W
W | F 5 3
T 9 4 | W
W | S swordsman
W | W
S archer | T 9 1
S swordsman | W
W | F 0 1
W | W
W | F 9 4
F 5 7 | F 3 4
W | T 6 0
S swordsman | W
W | W
W | W
F 5 3 | W
W | S archer
W | W
T 5 3 | S swordsman
S swordsman | W
W | T 3 0
W | T 2 4
W | W
W | W
T 6 1 | F 7 7
F 7 8 | W
