map:example_map.json
T 7 6 | S swordsman
W | F 0 9
W | W
W | T 4 0
W | W
W | W
S swordsman | W
W | W
T 8 8 | T 4 8
W | W
W | T 5 2
W | W
T 5 5 | W
W | F 7 3
W | W
W | W
W | W
W | W
W | T 9 5
S archer | S swordsman
W | W
W | W
F 7 1 | W
W | W
T 7 7 | F 2 0
W | S archer
F 7 3 | W
W | W
S swordsman | W
W | W
F 3 4 | W
W | W
W | T 1 7
W | W
S swordsman | S archer
T 5 2 | W
F 0 2 | W
W | W
W | T 6 4
W | W
W | W
W | W
W | S archer
T 0 4 | T 9 2
W | W
W | W
T 9 9 | W
W | W
W | W
W | W
W | W
F 8 0 | S archer
W | W
F 9 3 | S archer
S archer | W
W | W
W | W
W | W
T 8 3 | W
T 5 1 | W
W | W
W | W
W | W
W | W
W | W
W | W
F 9 0 | W
S swordsman | W
W | W
W | W
W | W
W | S archer
W | W
T 4 3 | W
W | W
S swordsman | W
S swordsman | W
T 2 9 | W
W | W
W | W
S archer | W
W | T 6 6
W | W
W | W
W | W
W | T 6 6
W | T 3 7
W | W
W | F 3 3
