map:nowa_mapa.json
W | W
T 7 4 | F 9 7
F 3 0 | F 3 1
F 0 6 | F 0 8
F 5 7 | F 6 6
W | W
W | W
S archer | F 6 8
W | W
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | T 1 4
W | W
W | T 0 6
W | W
F 0 5 | T 7 3
T 9 2 | W
T 2 5 | W
W | W
W | T 1 3
W | S swordsman
W | W
S archer | W
W | W
W | W
T 4 2 | W
F 5 7 | W
W | T 6 4
W | W
T 2 9 | W
W | W
W | W
W | W
T 7 2 | T 3 3
S swordsman | F 7 6
W | S archer
T 0 3 | W
S archer | W
W | W
W | W
W | W
F 1 6 | W
F 3 5 | W
W | W
W | T 3 1
T 0 8 | W
W | F 8 4
W | W
S swordsman | T 6 5
W | W
W | W
T 3 0 | F 0 8
W | S swordsman
T 3 3 | W
W | T 4 1
S archer | W
S archer | W
W | W
W | W
F 4 3 | W
W | W
W | W
W | W
W | W
W | W
T 2 9 | T 3 3
F 6 3 | F 7 9
W | T 8 0
F 2 7 | W
F 7 5 | W
S archer | W
W | W
W | T 5 8
W | T 6 4
W | W
F 5 3 | W
W | F 0 2
W | W
F 2 1 | W
W | W
W | S swordsman
W | W
W | W
W | T 0 5
W | F 7 8
W | W
W | T 5 2
F 6 4 | T 4 4
W | W
F 6 1 | W
W | W
W | S swordsman
W | W
S swordsman | T 6 1
W | W
T 3 2 | S swordsman
W | W
W | T 1 2
T 7 1 | F 1 2
S archer | W
W | S swordsman
S archer | T 6 1
W | W
F 9 7 | T 0 1
F 3 5 | S archer
F 0 5 | T 7 5
S swordsman | T 0 8
F 6 7 | W
T 9 0 | F 2 7
W | T 0 7
W | W
W | W
W | T 1 1
F 4 4 | W
S archer | W
W | W
W | S swordsman
W | W
W | W
W | W
W | F 2 2
S archer | W
F 3 0 | S archer
T 1 0 | S swordsman
W | W
W | W
W | F 0 9
W | W
W | T 2 1
